eval,angles_deg,objective,cached
1,"100;135;260;355",98753.235257,false
2,"90;135;260;355",100323.109260,false
3,"110;135;260;355",100009.913351,false
4,"100;125;260;355",99751.460252,false
5,"100;145;260;355",98014.889448,false
6,"100;135;250;355",97723.674395,false
7,"100;135;270;355",98244.338514,false
8,"100;135;260;345",99429.282929,false
9,"100;135;260;5",98876.540294,false
10,"90;135;250;355",99012.708919,false
11,"110;135;250;355",99197.979220,false
12,"100;125;250;355",98883.567274,false
13,"100;145;250;355",97089.454549,false
14,"100;135;240;355",96713.344859,false
15,"100;135;260;355",98753.235257,true
16,"100;135;250;345",98495.881946,false
17,"100;135;250;5",97911.605722,false
