eval,angles_deg,objective,cached
1,"250;255;265;305",104333.441369,false
2,"240;255;265;305",102047.456053,false
3,"230;255;265;305",100231.686705,false
4,"220;255;265;305",100122.895012,false
5,"210;255;265;305",101349.283914,false
6,"230;255;265;305",100231.686705,true
7,"220;245;265;305",102284.148730,false
8,"220;255;275;305",97546.726148,false
9,"210;255;275;305",99164.793641,false
10,"230;255;275;305",98067.678558,false
11,"220;245;275;305",99443.420740,false
12,"220;265;275;305",99408.253172,false
13,"220;255;265;305",100122.895012,true
14,"220;255;285;305",100552.139705,false
15,"220;255;275;295",101756.387634,false
16,"220;255;275;315",96781.432611,false
17,"210;255;275;315",97687.208039,false
18,"230;255;275;315",97152.512475,false
19,"220;245;275;315",98211.841351,false
20,"220;265;275;315",98301.045973,false
21,"220;255;265;315",99146.012120,false
22,"220;255;285;315",99235.324581,false
23,"220;255;275;305",97546.726148,true
24,"220;255;275;325",96096.951400,false
25,"210;255;275;325",96765.466509,false
26,"230;255;275;325",96368.552721,false
27,"220;245;275;325",97769.269253,false
28,"220;265;275;325",97890.584976,false
29,"220;255;265;325",98589.301947,false
30,"220;255;285;325",98386.643418,false
31,"220;255;275;315",96781.432611,true
32,"220;255;275;335",96873.709827,false
33,"220;255;275;315",96781.432611,true
34,"220;255;285;315",99235.324581,true
35,"230;255;285;315",99593.578918,false
36,"220;255;285;315",99235.324581,true
37,"210;255;285;315",100255.711218,false
38,"230;255;285;315",99593.578918,true
39,"220;245;285;315",101402.574382,false
40,"220;265;285;315",100697.798606,false
41,"220;255;275;315",96781.432611,true
42,"210;255;275;315",97687.208039,true
43,"230;255;275;315",97152.512475,true
44,"220;245;275;315",98211.841351,true
45,"220;265;275;315",98301.045973,true
46,"220;255;265;315",99146.012120,true
47,"220;255;285;315",99235.324581,true
48,"220;255;275;305",97546.726148,true
49,"220;255;275;325",96096.951400,true
50,"210;255;275;325",96765.466509,true
51,"230;255;275;325",96368.552721,true
52,"220;245;275;325",97769.269253,true
53,"220;265;275;325",97890.584976,true
54,"220;255;265;325",98589.301947,true
55,"220;255;285;325",98386.643418,true
56,"220;255;275;315",96781.432611,true
57,"220;255;275;335",96873.709827,true
58,"220;255;275;335",96873.709827,true
59,"220;245;275;335",98364.498475,false
60,"210;245;275;335",98816.346002,false
61,"200;245;275;335",98738.072294,false
62,"190;245;275;335",98717.642429,false
63,"180;245;275;335",97836.261688,false
64,"170;245;275;335",98103.399288,false
65,"190;245;275;335",98717.642429,true
66,"180;235;275;335",96994.988888,false
67,"170;235;275;335",97714.430941,false
68,"190;235;275;335",97535.687009,false
69,"180;225;275;335",95312.819710,false
70,"170;225;275;335",96255.910149,false
71,"190;225;275;335",96421.679305,false
72,"180;215;275;335",97731.820651,false
73,"180;235;275;335",96994.988888,true
74,"180;225;265;335",95974.727819,false
75,"180;225;285;335",95682.308397,false
76,"180;225;275;325",94860.794680,false
77,"170;225;275;325",95178.307116,false
78,"190;225;275;325",96110.407721,false
79,"180;215;275;325",97082.034599,false
80,"180;235;275;325",96376.525744,false
81,"180;225;265;325",95020.905564,false
82,"180;225;285;325",95265.126694,false
83,"180;225;275;315",95462.229682,false
84,"180;225;275;335",95312.819710,true
85,"180;225;285;325",95265.126694,true
86,"170;225;285;325",96006.262370,false
87,"180;225;285;325",95265.126694,true
88,"170;225;285;325",96006.262370,true
89,"190;225;285;325",96547.264913,false
90,"180;215;285;325",98800.149486,false
91,"180;235;285;325",98986.159316,false
92,"180;225;275;325",94860.794680,true
93,"170;225;275;325",95178.307116,true
94,"190;225;275;325",96110.407721,true
95,"180;215;275;325",97082.034599,true
96,"180;235;275;325",96376.525744,true
97,"180;225;265;325",95020.905564,true
98,"180;225;285;325",95265.126694,true
99,"180;225;275;315",95462.229682,true
100,"180;225;275;335",95312.819710,true
101,"180;225;265;325",95020.905564,true
102,"170;225;265;325",95755.829043,false
103,"160;225;265;325",95474.247727,false
104,"150;225;265;325",94830.795315,false
105,"140;225;265;325",91920.193142,false
106,"130;225;265;325",96298.546426,false
107,"150;225;265;325",94830.795315,true
108,"140;215;265;325",93772.875976,false
109,"140;235;265;325",94317.367364,false
110,"140;225;255;325",91447.106386,false
111,"130;225;255;325",95310.499287,false
112,"150;225;255;325",93880.515954,false
113,"140;215;255;325",93935.913720,false
114,"140;235;255;325",95065.495165,false
115,"140;225;245;325",93611.630903,false
116,"140;225;265;325",91920.193142,true
117,"140;225;255;315",90292.941469,false
118,"130;225;255;315",95994.126825,false
119,"150;225;255;315",93446.904208,false
120,"140;215;255;315",92940.723005,false
121,"140;235;255;315",94078.760910,false
122,"140;225;245;315",92349.361624,false
123,"140;225;265;315",90952.266223,false
124,"140;225;255;305",90698.352379,false
125,"140;225;255;325",91447.106386,true
126,"140;225;245;315",92349.361624,true
127,"140;215;245;315",94899.540890,false
128,"140;215;245;325",96143.660830,false
129,"130;215;245;325",101652.601855,false
130,"150;215;245;325",99270.723308,false
131,"140;205;245;325",95715.716093,false
132,"130;205;245;325",100925.701121,false
133,"150;205;245;325",98931.508308,false
134,"140;195;245;325",96573.757521,false
135,"140;215;245;325",96143.660830,true
136,"140;205;235;325",95389.748941,false
137,"130;205;235;325",100575.998589,false
138,"150;205;235;325",98917.679496,false
139,"140;195;235;325",95908.596549,false
140,"140;215;235;325",96081.701391,false
141,"140;205;225;325",93162.751055,false
142,"130;205;225;325",97366.705227,false
143,"150;205;225;325",96130.495175,false
144,"140;195;225;325",93442.518673,false
145,"140;215;225;325",94195.191269,false
146,"140;205;215;325",96916.913255,false
147,"140;205;235;325",95389.748941,true
148,"140;205;225;315",93028.265867,false
149,"130;205;225;315",98441.265765,false
150,"150;205;225;315",95467.291983,false
151,"140;195;225;315",93177.776697,false
152,"140;215;225;315",93529.972322,false
153,"140;205;215;315",96460.329967,false
154,"140;205;235;315",94805.484986,false
155,"140;205;225;305",92141.814790,false
156,"130;205;225;305",98413.841584,false
157,"150;205;225;305",95127.887045,false
158,"140;195;225;305",92210.227428,false
159,"140;215;225;305",92628.290964,false
160,"140;205;215;305",95244.166509,false
161,"140;205;235;305",94289.678474,false
162,"140;205;225;295",93894.822354,false
163,"140;205;225;315",93028.265867,true
164,"140;235;255;315",94078.760910,true
165,"140;235;265;315",93159.703393,false
166,"140;225;265;315",90952.266223,true
167,"130;225;265;315",97313.912093,false
168,"150;225;265;315",94339.280584,false
169,"140;215;265;315",92699.612378,false
170,"140;235;265;315",93159.703393,true
171,"140;225;255;315",90292.941469,true
172,"130;225;255;315",95994.126825,true
173,"150;225;255;315",93446.904208,true
174,"140;215;255;315",92940.723005,true
175,"140;235;255;315",94078.760910,true
176,"140;225;245;315",92349.361624,true
177,"140;225;265;315",90952.266223,true
178,"140;225;255;305",90698.352379,true
179,"140;225;255;325",91447.106386,true
180,"150;225;255;315",93446.904208,true
181,"150;225;255;305",93789.759750,false
182,"150;235;255;305",97375.586191,false
183,"140;235;255;305",93917.163755,false
184,"130;235;255;305",100493.645683,false
185,"150;235;255;305",97375.586191,true
186,"140;225;255;305",90698.352379,true
187,"130;225;255;305",96150.678737,false
188,"150;225;255;305",93789.759750,true
189,"140;215;255;305",93341.721126,false
190,"140;235;255;305",93917.163755,true
191,"140;225;245;305",92298.296025,false
192,"140;225;265;305",91702.543080,false
193,"140;225;255;295",92580.452304,false
194,"140;225;255;315",90292.941469,true
195,"130;225;255;315",95994.126825,true
196,"150;225;255;315",93446.904208,true
197,"140;215;255;315",92940.723005,true
198,"140;235;255;315",94078.760910,true
199,"140;225;245;315",92349.361624,true
200,"140;225;265;315",90952.266223,true
201,"140;225;255;305",90698.352379,true
202,"140;225;255;325",91447.106386,true
203,"140;225;265;315",90952.266223,true
204,"140;235;265;315",93159.703393,true
205,"130;235;265;315",100797.090890,false
206,"120;235;265;315",100118.381554,false
207,"110;235;265;315",99546.260074,false
208,"100;235;265;315",98313.407113,false
209,"90;235;265;315",100981.219479,false
210,"110;235;265;315",99546.260074,true
211,"100;225;265;315",96549.009705,false
212,"90;225;265;315",97480.390483,false
213,"110;225;265;315",96606.976558,false
214,"100;215;265;315",98027.830514,false
215,"100;235;265;315",98313.407113,true
216,"100;225;255;315",95050.611977,false
217,"90;225;255;315",95753.418055,false
218,"110;225;255;315",95418.377565,false
219,"100;215;255;315",96623.426716,false
220,"100;235;255;315",97503.710876,false
221,"100;225;245;315",96813.868878,false
222,"100;225;265;315",96549.009705,true
223,"100;225;255;305",96500.890204,false
224,"100;225;255;325",94774.594132,false
225,"90;225;255;325",95646.836628,false
226,"110;225;255;325",95079.992161,false
227,"100;215;255;325",96418.643968,false
228,"100;235;255;325",97165.142345,false
229,"100;225;245;325",96298.688816,false
230,"100;225;265;325",96445.612285,false
231,"100;225;255;315",95050.611977,true
232,"100;225;255;335",95514.944612,false
233,"140;225;265;315",90952.266223,true
234,"140;225;255;315",90292.941469,true
235,"130;225;255;315",95994.126825,true
236,"120;225;255;315",95971.414104,false
237,"110;225;255;315",95418.377565,true
238,"100;225;255;315",95050.611977,true
239,"90;225;255;315",95753.418055,true
240,"110;225;255;315",95418.377565,true
241,"100;215;255;315",96623.426716,true
242,"100;235;255;315",97503.710876,true
243,"100;225;245;315",96813.868878,true
244,"100;225;265;315",96549.009705,true
245,"100;225;255;305",96500.890204,true
246,"100;225;255;325",94774.594132,true
247,"90;225;255;325",95646.836628,true
248,"110;225;255;325",95079.992161,true
249,"100;215;255;325",96418.643968,true
250,"100;235;255;325",97165.142345,true
251,"100;225;245;325",96298.688816,true
252,"100;225;265;325",96445.612285,true
253,"100;225;255;315",95050.611977,true
254,"100;225;255;335",95514.944612,true
255,"140;235;255;315",94078.760910,true
256,"130;235;255;315",100591.070023,false
257,"120;235;255;315",100254.742033,false
258,"110;235;255;315",98803.888027,false
259,"100;235;255;315",97503.710876,true
260,"90;235;255;315",99695.393939,false
261,"110;235;255;315",98803.888027,true
262,"100;225;255;315",95050.611977,true
263,"90;225;255;315",95753.418055,true
264,"110;225;255;315",95418.377565,true
265,"100;215;255;315",96623.426716,true
266,"100;235;255;315",97503.710876,true
267,"100;225;245;315",96813.868878,true
268,"100;225;265;315",96549.009705,true
269,"100;225;255;305",96500.890204,true
270,"100;225;255;325",94774.594132,true
271,"90;225;255;325",95646.836628,true
272,"110;225;255;325",95079.992161,true
273,"100;215;255;325",96418.643968,true
274,"100;235;255;325",97165.142345,true
275,"100;225;245;325",96298.688816,true
276,"100;225;265;325",96445.612285,true
277,"100;225;255;315",95050.611977,true
278,"100;225;255;335",95514.944612,true
