improvement,eval,angles_deg,objective
0,1,30;256;293;334,97771.407096
1,6,30;256;283;334,96683.556381
2,8,40;256;283;334,96571.916821
3,10,50;256;283;334,96368.174745
4,12,60;256;283;334,96302.509046
5,17,60;256;273;334,95844.145379
6,18,50;256;273;334,95610.227514
7,25,50;256;273;324,94912.990461
8,195,40;147;256;273,94767.067035
9,196,30;147;256;273,94738.986904
10,265,167;256;273;328,94306.077545
11,267,177;256;273;328,93950.395663
12,438,167;256;273;312,93202.552308
13,597,142;167;256;312,92497.053488
14,601,142;177;256;312,91953.226786
