eval,angles_deg,objective,cached
1,"240;274;326;344",98222.879942,false
2,"230;274;326;344",97988.214988,false
3,"220;274;326;344",98157.938558,false
4,"240;274;326;344",98222.879942,true
5,"230;264;326;344",99785.127957,false
6,"230;284;326;344",100202.459982,false
7,"230;274;316;344",96995.669021,false
8,"220;274;316;344",97159.210471,false
9,"240;274;316;344",98162.006268,false
10,"230;264;316;344",98981.621639,false
11,"230;284;316;344",99228.765557,false
12,"230;274;306;344",97494.114376,false
13,"230;274;326;344",97988.214988,true
14,"230;274;316;334",96590.693425,false
15,"220;274;316;334",96920.454943,false
16,"240;274;316;334",97734.179469,false
17,"230;264;316;334",98787.445553,false
18,"230;284;316;334",98614.596621,false
19,"230;274;306;334",96454.595623,false
20,"220;274;306;334",97027.011883,false
21,"240;274;306;334",96666.758391,false
22,"230;264;306;334",98559.746498,false
23,"230;284;306;334",98975.054616,false
24,"230;274;296;334",98136.948968,false
25,"230;274;316;334",96590.693425,true
26,"230;274;306;324",95704.964722,false
27,"220;274;306;324",96083.449771,false
28,"240;274;306;324",96491.932173,false
29,"230;264;306;324",98178.123804,false
30,"230;284;306;324",98454.157522,false
31,"230;274;296;324",97595.126847,false
32,"230;274;316;324",96136.820231,false
33,"230;274;306;314",97650.473790,false
34,"230;274;306;334",96454.595623,true
35,"220;274;306;324",96083.449771,true
36,"240;274;306;324",96491.932173,true
37,"230;264;306;324",98178.123804,true
38,"230;284;306;324",98454.157522,true
39,"230;274;296;324",97595.126847,true
40,"230;274;316;324",96136.820231,true
41,"230;274;306;314",97650.473790,true
42,"230;274;306;334",96454.595623,true
43,"220;274;306;324",96083.449771,true
44,"240;274;306;324",96491.932173,true
45,"230;264;306;324",98178.123804,true
46,"230;284;306;324",98454.157522,true
47,"230;274;296;324",97595.126847,true
48,"230;274;316;324",96136.820231,true
49,"230;274;306;314",97650.473790,true
50,"230;274;306;334",96454.595623,true
51,"220;274;306;324",96083.449771,true
52,"240;274;306;324",96491.932173,true
53,"230;264;306;324",98178.123804,true
54,"230;284;306;324",98454.157522,true
55,"230;274;296;324",97595.126847,true
56,"230;274;316;324",96136.820231,true
57,"230;274;306;314",97650.473790,true
58,"230;274;306;334",96454.595623,true
59,"220;274;306;324",96083.449771,true
60,"240;274;306;324",96491.932173,true
61,"230;264;306;324",98178.123804,true
62,"230;284;306;324",98454.157522,true
63,"230;274;296;324",97595.126847,true
64,"230;274;316;324",96136.820231,true
65,"230;274;306;314",97650.473790,true
66,"230;274;306;334",96454.595623,true
67,"33;230;274;306",98681.181631,false
68,"23;230;274;306",99390.802719,false
69,"43;230;274;306",99528.580638,false
70,"33;220;274;306",99908.589424,false
71,"33;240;274;306",99599.248463,false
72,"33;230;264;306",101317.307596,false
73,"33;230;284;306",101463.571970,false
74,"33;230;274;296",102751.065837,false
75,"33;230;274;316",97550.863821,false
76,"23;230;274;316",97642.739152,false
77,"43;230;274;316",97856.157346,false
78,"33;220;274;316",98283.605208,false
79,"33;240;274;316",98302.646374,false
80,"33;230;264;316",99984.052019,false
81,"33;230;284;316",99366.579521,false
82,"33;230;274;306",98681.181631,true
83,"33;230;274;326",97516.531243,false
84,"23;230;274;326",97386.901163,false
85,"13;230;274;326",96480.154415,false
86,"3;230;274;326",95998.476002,false
87,"353;230;274;326",96231.276722,false
88,"13;230;274;326",96480.154415,true
89,"3;220;274;326",96411.442636,false
90,"3;240;274;326",96913.852480,false
91,"3;230;264;326",97879.187547,false
92,"3;230;284;326",98143.220576,false
93,"3;230;274;316",95916.657962,false
94,"353;230;274;316",95784.919216,false
95,"343;230;274;316",96706.633063,false
96,"3;230;274;316",95916.657962,true
97,"353;220;274;316",96113.509213,false
98,"353;240;274;316",97016.300350,false
