eval,angles_deg,objective,cached,ptv_PTVHD_u2,ptv_PTVLD_u2,oar_BLADDER_v2,oar_RECTUM_v2
1,"35;115;165;285",280143.183136,false,20295.577635,71183.035693,218828.060629,158501.078985
2,"25;115;165;285",280331.998877,false,20456.278054,71333.131620,218497.848626,158587.329780
3,"45;115;165;285",280025.266898,false,20552.361318,70962.704764,218552.621980,158467.779653
4,"35;115;165;285",280143.183136,true,20295.577635,71183.035693,218828.060629,158501.078985
5,"55;115;165;285",279936.469716,false,20527.972298,70961.698703,219113.616082,157779.981350
6,"45;115;165;285",280025.266898,true,20552.361318,70962.704764,218552.621980,158467.779653
7,"65;115;165;285",280402.917069,false,20615.535169,71100.471665,219687.871192,157685.949278
8,"55;105;165;285",274660.772770,false,19626.375555,70730.484600,220554.228571,148053.596657
9,"45;105;165;285",274736.531593,false,19989.948188,70695.506837,219745.617065,148356.536070
10,"65;105;165;285",275531.884905,false,19639.588690,71241.310606,220734.888631,148567.082586
11,"55;95;165;285",278441.887539,false,19239.956410,71854.170076,221400.258617,153295.263489
12,"55;115;165;285",279936.469716,true,20527.972298,70961.698703,219113.616082,157779.981350
13,"55;105;155;285",273037.106434,false,20385.207632,68760.576713,216631.558014,151151.086165
14,"45;105;155;285",272749.172782,false,20362.350464,68727.650862,215867.732629,151450.610284
15,"35;105;155;285",273306.897312,false,20056.366645,68920.222629,217040.057769,151620.558307
16,"55;105;155;285",273037.106434,true,20385.207632,68760.576713,216631.558014,151151.086165
17,"45;95;155;285",276178.184858,false,19681.770494,69545.332016,217187.433992,156714.730703
18,"45;115;155;285",279435.663012,false,21053.022060,69761.992698,215314.056949,161927.239559
19,"45;105;145;285",268287.054990,false,19778.969894,66584.209447,213991.389460,149856.361836
20,"35;105;145;285",268840.760490,false,19482.179172,66932.752965,214712.619994,150139.036711
21,"55;105;145;285",268808.318502,false,19908.066347,66563.804058,214908.647361,149764.248833
22,"45;95;145;285",271757.463029,false,19611.512791,66787.370152,215071.049077,155646.111095
23,"45;115;145;285",273981.370917,false,20399.902463,66499.997879,213671.887210,160491.053939
24,"45;105;135;285",268859.833548,false,20233.806028,65861.848503,214467.281345,151061.076688
25,"45;105;155;285",272749.172782,true,20362.350464,68727.650862,215867.732629,151450.610284
26,"45;105;145;275",266319.443212,false,19367.366042,65743.236178,216206.915479,146210.766504
27,"35;105;145;275",266839.827452,false,19344.552837,65957.038335,216730.243224,146346.229337
28,"55;105;145;275",266459.588873,false,19310.741930,65645.949427,216831.573984,146174.221048
29,"45;95;145;275",271320.515535,false,19453.937314,66583.466996,218265.996787,152300.225662
30,"45;115;145;275",269686.646031,false,19844.655195,65209.047688,216184.329424,153081.556872
31,"45;105;135;275",266551.114173,false,19637.736804,65061.354395,215780.561920,147923.484030
32,"45;105;155;275",271232.537658,false,19636.939676,68090.489346,218488.196837,148522.020435
33,"45;105;145;265",267994.282927,false,19146.032662,67338.613858,217183.242428,145836.030387
34,"45;105;145;285",268287.054990,true,19778.969894,66584.209447,213991.389460,149856.361836
