eval,angles_deg,objective,cached,ptv_PTVHD_u2,ptv_PTVLD_u2,oar_BLADDER_v2,oar_RECTUM_v2
1,"35;115;165;285",3154.801650,false,63.391760,1230.068609,2183.913409,1538.769154
2,"25;115;165;285",3097.256696,false,59.310929,1231.072734,2038.161038,1575.585028
3,"15;115;165;285",3139.009428,false,57.402794,1269.017631,1915.293263,1709.884744
4,"35;115;165;285",3154.801650,true,63.391760,1230.068609,2183.913409,1538.769154
5,"25;105;165;285",3019.025047,false,49.269463,1188.719637,2092.448992,1469.622903
6,"15;105;165;285",3025.710983,false,48.264671,1216.595771,1957.166372,1564.534710
7,"35;105;165;285",3090.866420,false,46.871028,1202.146130,2244.040526,1439.657998
8,"25;95;165;285",3015.949194,false,47.551832,1198.862831,2062.410252,1476.658813
9,"15;95;165;285",3033.665506,false,50.544101,1225.280402,1925.651321,1590.030687
10,"35;95;165;285",3091.433760,false,52.663958,1208.812395,2225.813517,1434.101298
11,"25;85;165;285",3167.335898,false,53.652069,1263.797311,2107.088397,1592.684640
12,"25;105;165;285",3019.025047,true,49.269463,1188.719637,2092.448992,1469.622903
13,"25;95;155;285",2882.616090,false,43.351626,1158.438018,1931.986859,1429.666034
14,"15;95;155;285",2874.151393,false,43.960399,1167.456768,1808.319299,1517.149153
15,"5;95;155;285",2872.024924,false,51.183127,1155.163527,1719.874588,1611.481950
16,"355;95;155;285",2923.328122,false,64.504865,1152.100103,1776.956045,1636.490262
17,"15;95;155;285",2874.151393,true,43.960399,1167.456768,1808.319299,1517.149153
18,"5;85;155;285",3012.277991,false,57.015514,1224.489124,1725.647547,1735.899159
19,"5;105;155;285",2884.006021,false,54.625959,1150.602356,1743.444285,1614.111127
20,"5;95;145;285",2898.056910,false,52.831477,1158.584435,1692.033595,1681.248401
21,"5;95;165;285",3037.823144,false,60.206669,1209.280853,1819.208252,1717.462994
22,"5;95;155;275",2905.424370,false,53.223543,1208.320728,1725.932270,1561.827928
23,"5;95;155;295",2876.419786,false,53.165347,1168.721705,1678.397577,1630.667892
