eval,angles_deg,objective,cached,ptv_PTVHD_u2,ptv_PTVLD_u2,oar_BLADDER_v2,oar_RECTUM_v2
1,"100;135;260;355",98753.235257,false,5888.780780,26917.840637,75787.808058,56105.419624
2,"90;135;260;355",100323.109260,false,5716.100106,28084.122178,73084.246955,59961.526997
3,"110;135;260;355",100009.913351,false,5863.212490,27311.302854,74812.393084,58858.402929
4,"100;125;260;355",99751.460252,false,6030.787964,27788.601182,76151.692079,55712.450133
5,"100;145;260;355",98014.889448,false,5554.673450,27256.684111,75572.016898,54835.046876
6,"100;135;250;355",97723.674395,false,5645.450655,26881.963396,75817.848022,54574.672667
7,"100;135;270;355",98244.338514,false,5644.984224,26781.845649,77012.670586,54622.346695
8,"100;135;260;345",99429.282929,false,6575.899279,25747.280785,77985.531919,56226.673812
9,"100;135;260;5",98876.540294,false,6010.260577,26694.795395,75677.698225,56665.270417
10,"90;135;250;355",99012.708919,false,5403.614749,27917.338236,73282.569419,58100.942448
11,"110;135;250;355",99197.979220,false,5531.351866,27189.480423,75263.696478,57690.597384
12,"100;125;250;355",98883.567274,false,5920.750531,27673.888787,76251.191228,54326.664684
13,"100;145;250;355",97089.454549,false,5316.104911,27264.348930,75657.464189,53360.537228
14,"100;135;240;355",96713.344859,false,5577.593742,26720.304853,74750.150798,54080.741729
15,"100;135;260;355",98753.235257,true,5888.780780,26917.840637,75787.808058,56105.419624
16,"100;135;250;345",98495.881946,false,6287.648575,25877.152854,77901.994633,54760.166399
17,"100;135;250;5",97911.605722,false,5770.175232,26690.370399,75997.218460,54904.901723
18,"90;135;240;355",98764.348416,false,5496.849115,27804.891122,72769.457005,58155.759353
19,"110;135;240;355",98025.529280,false,5506.920097,27102.931641,73833.674846,56997.680238
20,"100;125;240;355",98055.446115,false,5659.782545,27607.840160,74935.903171,54639.743647
21,"100;145;240;355",96678.442191,false,5287.291792,27165.985189,75303.298724,53147.031696
22,"100;135;230;355",96484.161421,false,5584.354461,26581.384400,75572.275685,53064.569437
23,"100;135;250;355",97723.674395,true,5645.450655,26881.963396,75817.848022,54574.672667
24,"100;135;240;345",97344.277048,false,6178.295439,25700.263748,76780.109977,54151.325746
25,"100;135;240;5",96800.190439,false,5711.602930,26559.085183,74803.018567,54255.986086
26,"90;135;230;355",98062.500708,false,5348.815316,27520.455901,73466.590679,56919.868302
27,"110;135;230;355",97712.836013,false,5501.770901,27004.929703,74234.519166,56177.751653
28,"100;125;230;355",97830.498884,false,5746.723160,27445.191533,76454.070173,52823.098207
29,"100;145;230;355",96050.832212,false,5262.846112,26949.148946,75766.343859,51911.330448
30,"100;135;220;355",96514.308347,false,5487.704016,26856.673633,75910.012249,52429.849145
31,"100;135;240;355",96713.344859,true,5577.593742,26720.304853,74750.150798,54080.741729
32,"100;135;230;345",97103.259664,false,6148.656468,25588.222083,77311.639589,53421.122637
33,"100;135;230;5",96452.640719,false,5566.585311,26451.819480,75571.395174,53297.076682
34,"90;145;230;355",98110.868697,false,5085.222042,28028.098157,74158.448493,55836.648502
35,"110;145;230;355",97282.987511,false,5255.429834,27565.120901,74098.958356,54825.915195
36,"100;135;230;355",96484.161421,true,5584.354461,26581.384400,75572.275685,53064.569437
37,"100;155;230;355",98256.477573,false,5396.674425,28205.300572,76672.425566,52636.579586
38,"100;145;220;355",96429.694463,false,5242.027430,27176.185663,76219.096613,51803.866127
39,"100;145;240;355",96678.442191,true,5287.291792,27165.985189,75303.298724,53147.031696
40,"100;145;230;345",97116.697575,false,6070.269888,25793.055103,77967.894581,52538.850587
41,"100;145;230;5",95806.878854,false,5325.794002,26588.952848,76130.797548,51653.466460
42,"90;145;230;5",97855.218004,false,5154.190349,27524.494542,74502.750159,55850.316067
43,"110;145;230;5",97040.354646,false,5332.113718,27152.812081,74219.668144,54891.189550
44,"100;135;230;5",96452.640719,true,5566.585311,26451.819480,75571.395174,53297.076682
45,"100;155;230;5",97710.584602,false,5418.005587,27879.755605,76412.806484,52412.840335
46,"100;145;220;5",95974.661600,false,5286.424937,26710.874678,76023.080952,51931.643017
47,"100;145;240;5",96474.483619,false,5324.734381,26791.490904,75732.660760,52983.855908
48,"100;145;230;355",96050.832212,true,5262.846112,26949.148946,75766.343859,51911.330448
49,"100;145;230;15",95592.865977,false,5730.013042,25615.462734,77196.398376,51298.382025
50,"90;145;230;15",97772.343060,false,5627.817409,26535.162656,76020.187469,55198.538520
51,"110;145;230;15",96892.766743,false,5756.748523,26221.176152,75530.594943,54299.089194
52,"100;135;230;15",96493.196967,false,6185.484098,25625.013974,76770.301090,52595.096698
53,"100;155;230;15",97163.121039,false,5668.162506,26808.998338,77661.324294,51710.596097
54,"100;145;220;15",95866.844831,false,5800.200103,25842.929226,77007.579420,51439.851583
55,"100;145;240;15",96439.640313,false,5821.610262,25913.729494,76841.159185,52567.441930
56,"100;145;230;5",95806.878854,true,5325.794002,26588.952848,76130.797548,51653.466460
57,"100;145;230;25",96698.589707,false,6012.135249,25561.126918,79305.380979,50945.274101
58,"100;156;213;1",98258.161518,false,5255.397270,28435.452745,75519.144144,53615.478863
59,"90;156;213;1",100002.871068,false,5191.293800,29071.864177,74608.132068,56871.294114
60,"110;156;213;1",98611.995762,false,5251.654377,28748.646968,73761.273833,55462.115001
61,"100;146;213;1",96436.272677,false,5087.822121,27791.677520,74098.446919,53015.099152
62,"100;166;213;1",99243.615539,false,5070.873143,29071.671509,76917.792206,53284.349570
63,"100;156;203;1",98690.514683,false,5412.942439,28439.793591,75164.889024,54510.668281
64,"100;156;223;1",97515.938283,false,5162.801893,28361.522454,76069.259023,51913.968849
65,"100;156;213;351",99349.216276,false,5635.004742,27851.862681,77719.625474,54005.072231
66,"100;156;213;11",98913.460528,false,5977.514887,27249.081169,77333.895802,54039.833142
67,"90;146;213;1",98573.572042,false,4970.734506,28751.487573,73224.339144,56478.360783
68,"110;146;213;1",97727.841278,false,5144.403709,28331.236399,72610.560327,55893.842012
69,"100;136;213;1",96611.693629,false,5300.161448,27835.965715,73696.687961,53254.444970
70,"100;156;213;1",98258.161518,true,5255.397270,28435.452745,75519.144144,53615.478863
71,"100;146;203;1",96705.128046,false,5197.057462,27730.647600,73845.410163,53709.435806
72,"100;146;223;1",95444.072043,false,4961.960047,27409.764984,75022.589118,51122.104905
73,"100;146;213;351",97651.219618,false,5516.371420,27238.136907,76776.975112,53016.447470
74,"100;146;213;11",97210.842561,false,5975.155883,26430.342116,76736.379916,52874.309206
75,"90;146;223;1",96767.541497,false,5015.507599,27848.607454,74977.396408,52829.456481
76,"110;146;223;1",96221.697026,false,5097.582237,27490.034270,74967.694654,52300.466383
77,"100;136;223;1",95994.576541,false,5162.570471,27372.402306,74977.235390,51941.972138
78,"100;156;223;1",97515.938283,true,5162.801893,28361.522454,76069.259023,51913.968849
79,"100;146;213;1",96436.272677,true,5087.822121,27791.677520,74098.446919,53015.099152
80,"100;146;233;1",95605.551979,false,5156.061346,27373.252338,74267.272706,51885.203884
81,"100;146;223;351",96763.286646,false,5494.027360,26831.525986,77255.064197,51620.402403
82,"100;146;223;11",96349.587484,false,5804.774247,26047.909601,77860.798485,51133.008786
83,"113;146;204;12",99581.808469,false,5826.891107,27368.474475,75725.337522,57047.548251
84,"103;146;204;12",95826.626981,false,5629.720157,26601.034825,75597.635971,51594.108027
85,"123;146;204;12",100726.545626,false,6344.179483,27521.659293,75691.933485,58029.480214
86,"113;136;204;12",99632.727271,false,6051.902958,27127.281441,75116.637491,57790.448255
87,"113;156;204;12",99786.240310,false,5633.553133,27713.900558,76373.410567,56504.162672
88,"113;146;194;12",100110.921003,false,5936.755993,27479.167244,75831.487035,57558.508500
89,"113;146;214;12",99327.189466,false,5917.553270,27147.623095,76208.776444,56315.249757
90,"113;146;204;2",99033.783469,false,5233.055971,28620.072595,72822.662676,57538.647129
