improvement,eval,angles_deg,objective
0,1,40;160;165;305,100947.795105
1,3,50;160;165;305,100400.558245
2,4,40;150;165;305,98638.230420
3,11,50;150;165;305,98241.508218
4,12,40;140;165;305,93798.163841
5,19,50;140;165;305,93715.762865
6,23,40;140;175;305,93288.493034
7,26,30;140;175;305,93250.104945
8,27,50;140;175;305,93069.457699
9,35,60;140;175;305,92760.503737
10,128,60;102;184;322,92618.805926
11,132,50;102;184;322,92478.441125
12,136,60;102;174;322,92237.062040
13,140,50;102;174;322,92081.341398
14,146,60;102;174;312,91954.394264
15,148,50;102;174;312,91870.128453
16,152,60;102;164;312,91223.681248
17,156,50;102;164;312,91009.647910
18,164,40;102;164;312,90616.733231
19,366,55;102;140;293,89984.139030
20,377,55;102;140;303,89000.372666
21,385,55;102;140;313,87495.658939
22,386,45;102;140;313,87400.911725
23,394,35;102;140;313,87252.764074
