improvement,eval,angles_deg,objective
0,1,35;135;320;355,100719.336287
1,2,25;135;320;355,100544.741956
2,3,15;135;320;355,100391.521838
3,7,15;145;320;355,100112.052166
4,12,15;145;310;355,98683.650418
5,41,65;145;276;355,98683.553550
6,69,45;135;276;323,98485.514453
7,70,35;135;276;323,98370.172718
8,74,35;145;276;323,97584.404996
9,79,35;145;266;323,97419.038847
10,84,35;145;256;323,94299.163934
11,91,35;145;256;313,93729.660031
12,106,45;141;256;313,90008.794825
13,107,35;141;256;313,89822.964740
14,116,35;141;272;313,88978.208875
15,187,42;141;272;309,88911.282169
