eval,angles_deg,objective,cached,ptv_PTVHD_u2,ptv_PTVLD_u2,oar_BLADDER_v2,oar_RECTUM_v2
1,"65;145;280;335",97785.733470,false,6547.497693,25885.903752,74815.809833,55888.854215
2,"55;145;280;335",98037.283557,false,6677.581579,25941.123595,74801.892589,56035.264178
3,"75;145;280;335",98461.646505,false,6750.158612,25839.812797,75443.391726,56299.958466
4,"65;135;280;335",97689.239417,false,6577.630127,25724.184727,74087.394867,56687.454261
5,"65;155;280;335",98722.858397,false,6404.064951,26680.287482,74763.162200,56513.849728
6,"65;145;270;335",96973.552237,false,6145.283484,25222.740339,77320.475283,53890.581546
7,"65;145;290;335",99063.798757,false,6675.396310,25662.962145,74444.249616,59006.630988
8,"65;145;280;325",97258.644199,false,6399.116053,25590.921725,74204.962801,56332.250040
9,"65;145;280;345",98394.447571,false,6098.329131,26706.290475,74530.521996,56649.133934
10,"55;145;270;335",96925.657499,false,6147.119105,25150.852432,77654.905009,53600.466916
11,"75;145;270;335",98360.150698,false,6515.773251,25224.924864,78521.724374,54717.180792
12,"65;135;270;335",96429.758198,false,6161.730723,25045.186205,76851.969721,53593.712817
13,"65;155;270;335",97836.479723,false,6034.094608,26343.210977,77089.815105,53828.533172
14,"65;145;260;335",101422.059510,false,6714.390343,26282.535225,77053.786021,59796.481864
15,"65;145;280;335",97785.733470,true,6547.497693,25885.903752,74815.809833,55888.854215
16,"65;145;270;325",96361.964264,false,5948.215322,25089.785824,76811.855585,53836.070651
17,"65;145;270;345",97452.067503,false,5558.634915,26059.411492,77690.036973,53978.005220
18,"55;145;270;325",96021.281822,false,5995.827461,24913.185727,76847.344057,53377.193212
19,"75;145;270;325",97699.094713,false,6296.629748,25144.807083,78202.373801,54312.941963
20,"65;135;270;325",96274.118438,false,6127.724047,24781.356628,77919.164769,52810.910757
21,"65;155;270;325",96388.458777,false,6001.286598,25468.567781,77040.399683,52796.809113
22,"65;145;260;325",100396.646697,false,6583.155085,26119.900078,75751.735653,59635.447415
23,"65;145;280;325",97258.644199,true,6399.116053,25590.921725,74204.962801,56332.250040
24,"65;145;270;315",95286.339585,false,6118.242147,24785.166228,75909.328087,52856.534331
25,"65;145;270;335",96973.552237,true,6145.283484,25222.740339,77320.475283,53890.581546
26,"55;145;270;315",94984.569814,false,6092.405895,24698.236933,76147.647807,52240.206164
27,"75;145;270;315",96616.073817,false,6382.506335,24855.540502,77425.050545,53331.003414
28,"65;135;270;315",97192.625784,false,6289.613507,24597.199523,77515.145423,55096.480084
