improvement,eval,angles_deg,objective
0,1,15;30;325;350,104785.793769
1,5,15;40;325;350,104192.346750
2,9,15;50;325;350,103008.770540
3,13,15;60;325;350,102657.145037
4,18,15;60;315;350,101629.860048
5,22,15;70;315;350,101602.180383
6,24,25;70;315;350,101519.545243
7,26,35;70;315;350,101109.752189
8,30,35;80;315;350,98857.826950
9,38,35;80;315;0,98273.196540
10,47,53;96;315;343,97438.234764
11,55,53;96;315;353,96529.875297
12,67,53;104;330;337,96266.284641
13,74,53;104;330;327,96047.013767
14,79,53;104;320;327,95130.584087
15,84,53;104;310;327,94319.349923
16,91,53;104;310;317,93479.483400
17,129,55;102;299;317,92824.374657
18,135,55;102;309;317,91941.697751
19,136,45;102;309;317,91895.374237
20,137,35;102;309;317,91851.328478
