improvement,eval,angles_deg,objective
0,1,35;135;320;355,100719.336287
1,2,25;135;320;355,100544.741956
2,3,45;135;320;355,100295.517228
3,6,35;135;310;355,99515.602378
4,14,25;135;310;355,99497.889261
5,15,45;135;310;355,99303.980796
6,17,35;145;310;355,98503.321842
7,25,45;145;310;355,98254.570854
8,27,55;145;310;355,98230.717847
9,59,38;144;306;355,97690.597636
10,72,38;144;306;5,97570.014070
11,74,48;144;306;355,97321.227170
12,76,58;144;306;355,97024.262349
13,158,77;144;310;358,96414.528281
