eval,angles_deg,objective,cached,ptv_PTVHD_u2,ptv_PTVLD_u2,oar_BLADDER_v2,oar_RECTUM_v2
1,"250;255;265;305",104333.441369,false,7467.350854,27522.353401,83657.006267,55030.467959
2,"240;255;265;305",102047.456053,false,6969.629075,27500.916009,81008.238192,54145.583746
3,"230;255;265;305",100231.686705,false,6935.911650,26996.086207,80449.852451,52149.525243
4,"220;255;265;305",100122.895012,false,6656.363600,27383.587770,80691.550248,51474.337034
5,"210;255;265;305",101349.283914,false,6875.844819,27786.714875,80023.514983,53349.933457
6,"230;255;265;305",100231.686705,true,6935.911650,26996.086207,80449.852451,52149.525243
7,"220;245;265;305",102284.148730,false,6776.145651,28050.414377,80430.440809,54484.736595
8,"220;255;275;305",97546.726148,false,6618.655679,25904.079314,80417.766070,49630.216240
9,"220;255;265;305",100122.895012,true,6656.363600,27383.587770,80691.550248,51474.337034
10,"220;255;285;305",100552.139705,false,7113.328958,27071.816341,80363.074692,52370.914119
11,"220;255;275;295",101756.387634,false,7203.130936,26786.943350,83716.902601,51815.724096
12,"220;255;275;315",96781.432611,false,6686.542270,25443.737405,78823.136535,50479.169339
13,"220;255;275;305",97546.726148,true,6618.655679,25904.079314,80417.766070,49630.216240
14,"220;255;275;325",96096.951400,false,6266.852105,24996.561492,79529.177740,50137.897867
15,"220;255;275;315",96781.432611,true,6686.542270,25443.737405,78823.136535,50479.169339
16,"220;255;275;335",96873.709827,false,6471.689806,25063.506476,80011.120434,50665.906656
17,"210;255;275;325",96765.466509,false,6257.273571,25367.469698,78760.005910,51521.440568
18,"230;255;275;325",96368.552721,false,6475.316286,24639.266726,79864.247695,50643.691723
19,"220;245;275;325",97769.269253,false,6287.523354,25814.912254,78547.626681,52786.040608
20,"220;265;275;325",97890.584976,false,6239.125134,25698.875565,79271.715618,52633.452937
21,"220;255;265;325",98589.301947,false,6262.363413,26172.585854,79640.737650,52667.967711
22,"220;255;285;325",98386.643418,false,6625.963861,25912.468547,78401.598737,53294.823282
23,"238;269;291;325",99086.858782,false,6413.473324,25652.371727,77780.818136,56261.209327
24,"228;269;291;325",98484.304694,false,6432.555047,25574.464064,78249.557649,54705.013517
25,"218;269;291;325",98532.465964,false,6128.809310,25961.029158,78655.336833,54229.918160
26,"238;269;291;325",99086.858782,true,6413.473324,25652.371727,77780.818136,56261.209327
27,"228;259;291;325",100567.239235,false,6527.946312,26138.365961,77503.022738,58298.831185
28,"228;279;291;325",97249.916967,false,6551.107651,25309.207966,76783.830099,53995.372599
29,"228;269;291;325",98484.304694,true,6432.555047,25574.464064,78249.557649,54705.013517
30,"228;289;291;325",100518.542556,false,6798.382240,26118.966486,76331.025773,58871.361887
31,"228;279;281;325",97233.922092,false,6457.122630,25539.601275,78020.936583,52453.459791
32,"228;279;271;325",94799.788363,false,6313.485311,24679.558108,78726.010173,48887.479715
33,"228;279;261;325",98139.498114,false,6623.229172,25639.665189,79039.152359,52714.055148
34,"228;279;281;325",97233.922092,true,6457.122630,25539.601275,78020.936583,52453.459791
35,"228;279;271;315",95565.962031,false,6333.262118,25145.963886,78887.075107,49286.396947
36,"228;279;271;335",95831.490200,false,6298.604387,25030.934702,78232.664270,50771.237952
37,"218;279;271;325",95189.299152,false,6221.396320,24918.313435,79346.905351,48752.273443
38,"238;279;271;325",95329.170998,false,6232.200301,24882.625241,78046.455941,50382.234971
39,"228;269;271;325",96771.599956,false,6313.543714,24999.470084,79694.381000,51222.791315
40,"228;289;271;325",95952.911348,false,6258.303420,24724.454983,78147.051809,51793.254080
41,"228;265;254;307",99654.256598,false,6846.081966,26647.604210,79898.640993,52422.499851
42,"228;255;254;307",100190.382449,false,7413.825403,26237.369581,80810.697408,52267.677523
43,"228;275;254;307",97332.309186,false,6816.169939,25188.186574,80260.995071,50394.910274
44,"228;265;254;307",99654.256598,true,6846.081966,26647.604210,79898.640993,52422.499851
45,"228;285;254;307",100144.746882,false,7240.183111,26216.645297,79329.160712,54046.676236
46,"228;275;244;307",98460.909081,false,6648.577062,25876.446909,79508.176040,52363.594178
47,"228;275;264;307",98563.638977,false,6647.355036,25707.614662,80309.978222,52107.360336
48,"228;275;254;297",101344.860659,false,7240.360863,26238.881399,83081.449171,52649.787624
49,"228;275;254;317",95905.840576,false,6694.829311,24528.764179,78727.815144,50636.679028
50,"228;275;254;307",97332.309186,true,6816.169939,25188.186574,80260.995071,50394.910274
51,"228;275;254;327",96820.762040,false,6641.471353,24600.058301,79448.320291,51710.144479
52,"218;275;254;317",96081.952131,false,6786.403163,24813.705279,77954.775447,51008.911929
53,"238;275;254;317",97530.699729,false,7096.838064,24795.395008,78899.311021,52377.622293
54,"228;265;254;317",98267.311162,false,6637.339643,25782.980514,78353.547485,53340.434527
55,"228;285;254;317",98319.115723,false,6948.676617,25182.372065,77242.759451,55133.374629
56,"228;275;244;317",96766.136159,false,6509.602663,25168.394268,78092.606948,52083.671508
57,"228;275;264;317",97303.672410,false,6619.300264,25178.943712,78583.084078,52427.772789
58,"214;266;271;307",98384.602671,false,6794.271149,25927.548940,79689.042967,51636.522195
59,"204;266;271;307",98584.367464,false,6648.235415,26313.382787,78615.005222,52630.493303
60,"224;266;271;307",97269.374411,false,6739.788662,25425.034675,80243.366033,49965.736114
61,"214;266;271;307",98384.602671,true,6794.271149,25927.548940,79689.042967,51636.522195
62,"234;266;271;307",98243.587593,false,6614.463487,25946.567096,80308.978857,51056.135163
63,"224;256;271;307",94066.570489,false,6434.475400,24724.368277,80553.445012,45262.008612
64,"224;246;271;307",96118.358101,false,6279.115605,25532.664894,80118.999548,48494.155655
65,"224;266;271;307",97269.374411,true,6739.788662,25425.034675,80243.366033,49965.736114
66,"224;256;261;307",97240.102074,false,6894.412289,25596.321673,81361.605643,48137.130579
67,"224;256;281;307",96379.247598,false,7137.339405,25028.047463,81040.055457,47387.666003
68,"224;256;271;297",97594.364610,false,6748.998399,25796.247122,83701.877751,46396.360427
69,"224;256;271;317",92870.919385,false,6225.767302,24073.965435,79701.141886,45441.231410
70,"224;256;271;307",94066.570489,true,6434.475400,24724.368277,80553.445012,45262.008612
71,"224;256;271;327",93332.776127,false,6289.312607,23670.980789,80305.909413,46439.056046
72,"214;256;271;317",93447.174968,false,6390.088424,24470.342305,78654.780135,46518.708343
73,"234;256;271;317",93572.063378,false,6291.083735,24285.535251,79569.069695,46421.819088
74,"224;246;271;317",94965.957231,false,6186.144743,24704.055695,78753.119157,49398.394431
75,"224;266;271;317",95617.157343,false,6560.603071,24706.465718,78445.925394,50254.251714
76,"224;256;261;317",95782.134992,false,6848.321210,24777.810289,79928.744857,48383.262129
77,"224;256;281;317",94622.325605,false,6758.166965,24313.364023,79302.394547,47799.194687
