improvement,eval,angles_deg,objective
0,1,85;135;265;355,100945.199919
1,2,75;135;265;355,100202.281447
2,3,65;135;265;355,99765.347338
3,4,55;135;265;355,99179.566247
4,8,55;145;265;355,98829.352628
5,11,55;145;255;355,98785.842762
6,16,45;145;255;355,98662.497269
7,17,35;145;255;355,98534.254708
8,20,35;135;255;355,98489.251831
9,33,41;151;273;355,98386.096310
10,35,51;151;273;355,97796.579271
11,38,51;141;273;355,91983.538070
12,44,51;141;273;5,91920.197152
13,89,37;141;258;358,91655.405731
14,93,47;141;258;358,91580.199592
