eval,angles_deg,objective,cached,ptv_PTVHD_u2,ptv_PTVLD_u2,oar_BLADDER_v2,oar_RECTUM_v2
1,"25;60;240;300",105989.158792,false,7381.301696,28287.111589,77201.652323,63439.838692
2,"15;60;240;300",105835.492329,false,7449.476098,28296.359895,75327.763413,64851.549259
3,"35;60;240;300",105614.350159,false,7216.905913,28420.059497,78787.329068,61167.440431
4,"25;50;240;300",106113.392656,false,7312.291614,28732.863495,77970.861801,62165.613293
5,"25;70;240;300",105907.840451,false,7186.640211,28688.391458,76498.204896,63567.412665
6,"25;60;230;300",105423.200298,false,7256.584823,28238.287066,77653.262876,62203.393939
7,"25;60;250;300",105223.316897,false,7181.267304,28135.851842,77622.889080,62189.506421
8,"25;60;240;290",108597.575558,false,7728.479623,29029.536540,79336.967250,64342.151541
9,"25;60;240;310",104048.046923,false,7492.070370,27582.445041,76536.408300,61410.654725
10,"15;60;240;310",104040.336748,false,7482.393846,27608.471778,75058.692535,62840.249712
11,"35;60;240;310",103532.747508,false,7479.139398,27470.902255,77201.908458,59963.503251
12,"25;50;240;310",104409.464871,false,7496.220512,27847.520819,76907.354198,61224.092883
13,"25;70;240;310",103480.789623,false,7221.911110,27913.528962,74805.873200,61884.825902
14,"25;60;230;310",104093.178903,false,7306.887933,27768.975107,76894.588096,61140.043630
15,"25;60;250;310",102854.270718,false,7341.481040,26986.766363,76234.926712,60817.119918
16,"25;60;240;300",105989.158792,true,7381.301696,28287.111589,77201.652323,63439.838692
17,"25;60;240;320",103914.962217,false,7056.390294,27563.606269,76617.018155,61972.913153
18,"15;60;250;310",103652.069816,false,7491.302149,27172.621630,76263.936884,61712.355190
19,"35;60;250;310",102389.633788,false,7198.900886,27045.891392,76615.878802,59673.804216
20,"25;50;250;310",102962.576218,false,7158.233055,27127.563988,77210.227168,60143.331182
21,"25;70;250;310",103472.423126,false,7111.909497,27449.367291,75714.959236,62107.333440
22,"25;60;240;310",104048.046923,true,7492.070370,27582.445041,76536.408300,61410.654725
23,"25;60;260;310",102817.681755,false,7242.267040,26897.746515,76390.688355,60964.648045
24,"25;60;250;300",105223.316897,true,7181.267304,28135.851842,77622.889080,62189.506421
25,"25;60;250;320",103475.848615,false,6914.216123,27275.385676,77164.932630,61407.561003
26,"25;60;250;310",102854.270718,true,7341.481040,26986.766363,76234.926712,60817.119918
27,"45;60;250;310",102320.155071,false,7332.785782,26820.900206,76687.031009,59645.907156
28,"35;50;250;310",103055.662376,false,7124.202409,27328.438569,77251.764848,59954.277949
