improvement,eval,angles_deg,objective
0,1,25;60;240;300,105989.158792
1,2,15;60;240;300,105835.492329
2,3,35;60;240;300,105614.350159
3,6,25;60;230;300,105423.200298
4,7,25;60;250;300,105223.316897
5,9,25;60;240;310,104048.046923
6,10,15;60;240;310,104040.336748
7,11,35;60;240;310,103532.747508
8,13,25;70;240;310,103480.789623
9,15,25;60;250;310,102854.270718
10,19,35;60;250;310,102389.633788
11,27,45;60;250;310,102320.155071
12,29,35;70;250;310,102311.561284
13,35,45;70;250;310,102280.427488
14,37,35;80;250;310,100513.284299
15,43,45;80;250;310,100425.741695
16,45,35;90;250;310,100408.018650
17,46,35;80;240;310,100266.610246
18,54,35;80;230;310,99645.776353
19,58,25;80;230;310,99433.461404
20,65,35;80;230;320,99340.641660
21,66,25;80;230;320,99251.424102
22,70,35;80;220;320,99062.052643
23,74,25;80;220;320,98999.837080
24,81,35;80;220;330,98937.909744
25,107,6;80;219;334,98823.841887
26,112,16;80;229;334,98728.933235
27,113,16;80;219;324,97864.269020
28,115,6;80;219;324,97360.714961
29,123,356;80;219;324,96449.394879
30,144,337;80;223;308,95580.552293
31,166,328;105;223;289,95115.537576
32,171,318;105;223;279,94701.439893
33,219,321;105;225;270,93616.319662
34,269,319;105;222;257,92833.571944
