improvement,eval,angles_deg,objective
0,1,40;160;165;305,100947.795105
1,3,50;160;165;305,100400.558245
2,5,60;160;165;305,100295.315684
3,7,70;160;165;305,100125.794673
4,9,80;160;165;305,99180.652136
5,12,80;150;165;305,97282.901851
6,15,80;140;165;305,92944.382804
7,21,80;140;175;305,91896.139043
8,29,80;140;175;315,91655.121355
9,38,92;140;175;315,91326.899896
10,57,102;143;176;315,90376.102086
11,150,102;141;169;333,89147.543202
12,156,102;141;179;333,88880.752091
13,223,102;141;165;314,88395.676426
