improvement,eval,angles_deg,objective
0,1,34;38;120;121,108689.649337
1,2,24;38;120;121,106578.828657
2,3,14;38;120;121,105185.044974
3,4,4;38;120;121,103048.995187
4,5,354;38;120;121,101871.921340
5,9,354;48;120;121,101351.437026
6,13,354;58;120;121,101231.924508
7,18,354;58;110;121,99173.304199
8,23,354;58;100;121,98070.194433
9,30,354;58;100;111,97689.028099
10,39,354;58;100;129,96834.602433
11,98,339;58;100;142,95534.886376
12,99,329;58;100;142,94408.051993
13,100,319;58;100;142,93971.153862
14,101,309;58;100;142,93139.737384
15,115,309;58;101;142,93114.830170
16,130,309;51;101;142,93078.140798
17,133,309;41;101;142,92966.766412
