eval,angles_deg,objective,cached,ptv_PTVHD_u2,ptv_PTVLD_u2,oar_BLADDER_v2,oar_RECTUM_v2
1,"97;251;261;332",99018.042462,false,6718.340054,25592.224530,78339.140625,55075.815130
2,"87;251;261;332",102806.475676,false,6970.261507,26941.896687,77495.008148,60293.626815
3,"107;251;261;332",98525.260306,false,6355.966458,26140.255014,77614.687651,54443.390017
4,"97;251;261;332",99018.042462,true,6718.340054,25592.224530,78339.140625,55075.815130
5,"117;251;261;332",100550.131221,false,6609.092428,26292.694315,77856.940247,57439.748708
6,"107;241;261;332",98019.957398,false,6207.368195,26120.854562,76949.888336,54433.580944
7,"97;241;261;332",98666.546232,false,6551.471904,25657.399671,77672.252630,55243.096682
8,"117;241;261;332",100329.799039,false,6491.035754,26071.853168,77678.151727,57855.668507
9,"107;231;261;332",97315.585465,false,6201.802932,25975.019191,77359.855126,52917.671560
10,"97;231;261;332",97950.436427,false,6641.164714,25415.400737,77985.383965,53802.357987
11,"117;231;261;332",99544.017103,false,6477.849781,25850.596360,77978.965215,56452.176709
12,"107;221;261;332",97057.061971,false,6389.085512,25661.030159,77779.226813,52234.665786
13,"97;221;261;332",97473.548502,false,6561.442112,25288.807524,77772.590318,53474.007415
14,"117;221;261;332",98745.597037,false,6469.245269,25580.978038,78802.032193,54588.715267
15,"107;211;261;332",97314.278909,false,6180.923541,26008.893557,77227.722386,53021.201235
16,"107;231;261;332",97315.585465,true,6201.802932,25975.019191,77359.855126,52917.671560
17,"107;221;251;332",96972.087774,false,6191.369010,26000.844433,77968.255718,51591.492942
18,"97;221;251;332",96683.389109,false,6245.354326,25476.925856,78357.250829,51564.967024
19,"87;221;251;332",99749.094019,false,6446.685497,26270.568801,78867.419708,55196.259734
20,"107;221;251;332",96972.087774,true,6191.369010,26000.844433,77968.255718,51591.492942
21,"97;211;251;332",97143.102148,false,6239.664716,25701.701276,77767.854956,52635.617356
22,"97;231;251;332",96975.367144,false,6337.065378,25515.688700,77790.633224,52454.592909
23,"97;221;241;332",96866.629049,false,6223.303923,25510.280449,77772.127662,52493.961694
24,"97;221;261;332",97473.548502,true,6561.442112,25288.807524,77772.590318,53474.007415
25,"97;221;251;322",96348.459023,false,6282.774587,25374.403187,77995.152812,51387.409687
26,"87;221;251;322",99073.258791,false,6466.037440,26245.115271,77642.257010,55081.955149
27,"107;221;251;322",96808.688791,false,6245.785675,25977.796124,77049.750555,52120.463428
28,"97;211;251;322",97034.724543,false,6385.840167,25758.269577,77305.628340,52475.601258
29,"97;231;251;322",96755.127009,false,6603.077829,25221.931721,77985.712966,51874.521953
30,"97;221;241;322",96495.835332,false,6281.705377,25531.747711,77182.850639,52181.913849
31,"97;221;261;322",97135.842698,false,6500.241725,25325.889599,77796.487019,52822.935728
32,"97;221;251;312",95990.716566,false,6427.989330,25349.372067,76811.905937,51614.804401
33,"87;221;251;312",99093.798466,false,6735.183561,26291.888980,77275.433846,54858.018004
34,"107;221;251;312",96588.568934,false,6505.255512,25660.106268,76831.919962,52014.494347
35,"97;211;251;312",96837.884997,false,6503.012592,25941.457409,76211.865582,52574.964408
36,"97;231;251;312",96637.468991,false,6610.577578,25323.573427,77582.777438,51823.858533
37,"97;221;241;312",96223.009759,false,6269.416034,25538.584203,76456.353845,52373.665199
