eval,angles_deg,objective,cached,ptv_PTVHD_u2,ptv_PTVLD_u2,oar_BLADDER_v2,oar_RECTUM_v2
1,"64;98;114;183",100816.884036,false,5584.366163,28713.161371,79064.122986,53974.590017
2,"54;98;114;183",99947.310732,false,5222.212830,28547.190825,79453.172636,52902.641517
3,"44;98;114;183",99445.172597,false,5125.733754,28563.608374,78852.773196,52658.887742
4,"34;98;114;183",99038.314577,false,5132.713234,28595.999813,78276.653209,52342.549852
5,"24;98;114;183",99288.687787,false,5152.575235,28737.841303,77608.488793,53188.053704
6,"44;98;114;183",99445.172597,true,5125.733754,28563.608374,78852.773196,52658.887742
7,"34;88;114;183",101198.865379,false,4950.369745,30115.944039,77392.961422,54872.141769
8,"34;108;114;183",101112.936193,false,5390.828163,29403.397081,77621.264729,55016.157169
9,"34;98;104;183",99142.381512,false,4777.313500,29477.301959,78601.403437,51174.128668
10,"34;98;124;183",97540.230459,false,4774.220453,28583.883657,77033.590709,51330.661989
11,"24;98;124;183",97761.535905,false,4843.752155,28572.017879,76409.653512,52281.878230
12,"44;98;124;183",98105.120473,false,4921.339385,28574.419268,77844.649334,51374.074305
13,"34;88;124;183",100343.065369,false,4693.747388,30334.750626,75886.351778,54742.782932
14,"34;108;124;183",98876.649808,false,4967.078942,29572.364085,75804.451338,52869.962223
15,"34;98;114;183",99038.314577,true,5132.713234,28595.999813,78276.653209,52342.549852
16,"34;98;134;183",95439.316578,false,4970.409870,27395.203943,75453.278124,50694.127405
17,"24;98;134;183",95745.763360,false,5128.369652,27450.440729,74803.464012,51530.441946
18,"44;98;134;183",95590.441668,false,4955.122049,27329.271026,76121.474408,50490.622780
19,"34;88;134;183",98111.232346,false,5027.177437,28711.096293,75033.456435,53712.460796
20,"34;108;134;183",96458.576132,false,4897.193891,28156.145448,74667.004874,52143.468712
21,"34;98;124;183",97540.230459,true,4774.220453,28583.883657,77033.590709,51330.661989
22,"34;98;144;183",94426.771996,false,4706.534607,27018.418756,75719.733232,49683.904035
23,"24;98;144;183",94825.748822,false,4762.674134,27135.974694,75247.594596,50606.605391
24,"44;98;144;183",94568.775116,false,4766.559215,26943.908991,76209.390730,49507.223091
25,"34;88;144;183",97068.639655,false,4699.211612,28293.992494,74911.139185,53239.731911
26,"34;108;144;183",95383.694926,false,4766.486772,27953.538794,74293.535367,51033.803354
27,"34;98;134;183",95439.316578,true,4970.409870,27395.203943,75453.278124,50694.127405
28,"34;98;154;183",96849.183181,false,4781.844276,28467.668781,76367.378695,50831.961551
29,"34;98;144;173",95576.619002,false,5420.551451,26319.759278,77029.875391,50642.741156
30,"34;98;144;193",96388.477564,false,5865.303316,25651.433095,77217.352950,52526.129357
31,"34;81;131;201",100414.075420,false,6862.173502,27352.083290,78391.632132,54008.005124
32,"24;81;131;201",100132.027525,false,6817.617028,27141.640641,78083.495195,54262.044516
33,"14;81;131;201",99850.225178,false,6998.100639,26750.141364,77913.966155,54290.000195
34,"4;81;131;201",98367.559198,false,6165.410732,27796.469993,74414.530230,54396.826714
35,"354;81;131;201",98011.093413,false,6102.880816,27715.862126,74394.666179,53990.034761
36,"344;81;131;201",98550.853552,false,6761.351447,26078.535755,76586.537263,54835.395439
37,"4;81;131;201",98367.559198,true,6165.410732,27796.469993,74414.530230,54396.826714
38,"354;71;131;201",100396.266108,false,5807.591351,29235.564865,72214.263640,58491.956144
39,"354;91;131;201",99354.979349,false,5810.733916,28532.818973,73985.137537,56037.715381
40,"354;81;121;201",98627.897117,false,5904.265355,28421.257085,73804.796524,54799.952830
41,"354;81;141;201",92371.029962,false,5282.396599,25676.666855,73534.218563,49289.714454
42,"344;81;141;201",92733.386939,false,6055.193576,23832.990053,76089.243627,49601.162993
43,"4;81;141;201",92923.783342,false,5292.896178,25736.144394,73934.201777,49855.283762
44,"354;71;141;201",95476.612080,false,5182.169120,26759.057791,73016.040434,54054.729905
45,"354;91;141;201",93580.088883,false,5079.903818,26286.886997,73350.661389,51075.934747
46,"354;81;131;201",98011.093413,true,6102.880816,27715.862126,74394.666179,53990.034761
