eval,angles_deg,objective,cached,ptv_PTVHD_u2,ptv_PTVLD_u2,oar_BLADDER_v2,oar_RECTUM_v2
1,"28;80;155;336",99954.009641,false,6611.600841,26720.591313,75219.189395,58024.445578
2,"18;80;155;336",100319.883607,false,6574.583772,27196.728585,74694.220130,58402.922370
3,"38;80;155;336",99392.183186,false,6434.440867,26334.344931,75846.472581,57400.322196
4,"28;80;155;336",99954.009641,true,6611.600841,26720.591313,75219.189395,58024.445578
5,"48;80;155;336",99799.576504,false,6594.516937,26314.287210,77128.946981,56652.597732
6,"38;70;155;336",102144.701555,false,6291.954963,27557.460631,75177.955081,61412.616842
7,"38;90;155;336",100087.230337,false,6079.339827,26898.010596,75759.634164,58460.125664
8,"38;80;145;336",98377.243800,false,6664.196649,25383.370776,76235.801622,56423.551128
9,"38;80;135;336",98254.195113,false,6571.571667,25716.557645,75224.824954,56707.306648
10,"38;80;125;336",98474.763562,false,6744.463693,26311.496311,74574.195368,56263.411748
11,"38;80;145;336",98377.243800,true,6664.196649,25383.370776,76235.801622,56423.551128
12,"38;80;135;326",97073.622697,false,6639.693157,25282.900758,75060.773931,55241.283634
13,"38;80;135;316",97208.000897,false,6708.229247,24966.542889,74588.324382,56478.133141
14,"38;80;135;336",98254.195113,true,6571.571667,25716.557645,75224.824954,56707.306648
15,"28;80;135;326",97616.532346,false,6819.096495,25418.758122,73924.717727,56832.637731
16,"48;80;135;326",97624.478993,false,6731.718804,25029.093027,76427.255529,55300.078796
17,"38;70;135;326",99542.592770,false,6578.382413,26242.031734,74473.169342,58971.187903
18,"38;90;135;326",97729.611195,false,6314.433699,25718.573588,74340.337664,57052.870152
19,"38;80;125;326",98132.336240,false,6813.557976,25974.151882,74306.697400,56382.555364
20,"38;80;145;326",97000.363496,false,6366.478280,25261.381545,74418.394519,56326.612822
21,"38;80;135;326",97073.622697,true,6639.693157,25282.900758,75060.773931,55241.283634
22,"38;80;155;326",97801.292611,false,6508.436271,25703.234870,75123.532211,56055.710728
23,"38;80;145;316",95388.797264,false,6674.306979,24757.954794,74014.110135,53898.960848
24,"38;80;145;306",96432.239804,false,6430.880017,24984.641533,75004.781815,55028.654691
25,"38;80;145;326",97000.363496,true,6366.478280,25261.381545,74418.394519,56326.612822
26,"28;80;145;316",95972.262983,false,6975.206814,24774.540653,73302.201599,55142.829433
27,"48;80;145;316",96044.969097,false,6827.319195,24608.332905,75278.342575,53940.291420
28,"38;70;145;316",97749.831970,false,6558.853631,25705.385305,73149.040719,57822.145351
