improvement,eval,angles_deg,objective
0,1,0;79;197;359,110337.952225
1,2,350;79;197;359,104638.904135
2,3,340;79;197;359,100867.926952
3,4,330;79;197;359,99238.796646
4,5,320;79;197;359,99037.941417
5,6,310;79;197;359,98009.592200
6,11,310;79;187;359,97329.570862
7,12,310;79;177;359,96875.158338
8,13,310;79;167;359,96773.405220
9,24,306;95;185;359,96467.101730
10,26,316;95;185;359,96087.164451
11,30,316;105;185;359,94203.203302
12,47,321;103;187;359,93887.174219
13,48,321;103;177;359,93161.142347
