eval,angles_deg,objective,cached,ptv_PTVHD_u2,ptv_PTVLD_u2,oar_BLADDER_v2,oar_RECTUM_v2
1,"180;212;284;314",98917.576721,false,5345.464976,28630.930806,75324.935463,54557.426417
2,"170;212;284;314",98850.736369,false,5901.042087,27828.641431,74020.463091,56221.642612
3,"160;212;284;314",98493.816809,false,6231.364309,26361.301875,75841.555402,55960.745848
4,"150;212;284;314",96882.179722,false,6743.230559,25356.184091,73779.227332,55786.302810
5,"140;212;284;314",92790.978874,false,6831.787530,24183.996865,73075.000998,50475.387959
6,"130;212;284;314",99968.041008,false,6954.168931,26732.451642,76063.340417,56499.500453
7,"150;212;284;314",96882.179722,true,6743.230559,25356.184091,73779.227332,55786.302810
8,"140;202;284;314",93110.741082,false,6785.952731,24638.224271,72204.962502,51168.165656
9,"140;222;284;314",91477.896959,false,6791.314980,23482.840232,75552.262810,46855.220683
10,"130;222;284;314",98141.874558,false,6677.164584,25820.953465,78270.976184,53016.536834
11,"150;222;284;314",95124.614239,false,6587.384895,24479.408753,76183.670475,51931.970707
12,"140;212;284;314",92790.978874,true,6831.787530,24183.996865,73075.000998,50475.387959
13,"140;232;284;314",92792.908083,false,6807.879731,23845.181352,74427.929229,49851.764771
14,"140;222;274;314",91127.946819,false,6634.540985,23170.037403,76590.699060,46056.037803
15,"130;222;274;314",97126.068896,false,6575.443565,25115.081124,78361.999415,52509.088997
16,"150;222;274;314",94107.008686,false,6351.506921,24146.025069,76326.223655,50892.729738
17,"140;212;274;314",91351.707870,false,6519.764002,23410.572262,75245.940048,47596.803165
18,"140;232;274;314",91438.332871,false,6459.172701,23142.844242,76343.121083,47329.510773
19,"140;222;264;314",91960.116728,false,6717.694293,23417.570723,77111.026183,46538.677240
20,"140;222;284;314",91477.896959,true,6791.314980,23482.840232,75552.262810,46855.220683
21,"140;222;274;304",91424.975725,false,6290.922604,23318.259773,78068.854427,45562.732269
22,"140;222;274;324",91766.833354,false,6241.770516,22985.905576,77658.134998,47420.179526
23,"140;205;289;302",95478.808426,false,6792.139419,24690.174521,75825.339843,52167.649130
24,"130;205;289;302",102204.617421,false,7048.846839,26901.713889,77904.625268,58603.488117
25,"150;205;289;302",98899.931456,false,6439.554829,25875.698257,75715.567112,57453.789625
26,"140;195;289;302",96691.453020,false,6881.608309,25031.580587,76021.576329,53534.951920
27,"140;215;289;302",95713.481034,false,6866.777847,24520.331988,76786.760301,51865.982097
28,"140;205;279;302",92807.747397,false,6339.986123,24363.574433,75572.623544,48635.750138
29,"130;205;279;302",98453.794932,false,6740.888759,26318.055362,77794.315631,52995.385991
30,"150;205;279;302",95871.489067,false,6260.962416,25478.049095,75754.009869,52510.945243
31,"140;195;279;302",93824.631323,false,6459.254357,24729.407127,75427.295965,49844.643713
32,"140;215;279;302",92953.482908,false,6249.106718,24256.780896,76317.935607,48577.254980
33,"140;205;269;302",93530.379762,false,6212.067566,24192.047160,77525.579002,48726.951070
34,"140;205;289;302",95478.808426,true,6792.139419,24690.174521,75825.339843,52167.649130
35,"140;205;279;292",93409.595275,false,6215.982602,24363.412654,76808.088450,48852.311587
36,"140;205;279;312",90864.015596,false,6628.413814,23733.343140,73302.694188,47701.823098
37,"130;205;279;312",97446.592266,false,6815.403783,25615.478641,76113.657800,53917.761883
38,"150;205;279;312",94217.841540,false,6601.685825,24588.902555,74073.689898,51980.816423
39,"140;195;279;312",91966.105562,false,6692.718291,24113.120900,73167.952246,49152.580496
40,"140;215;279;312",90931.793877,false,6587.130428,23570.292281,74041.534980,47507.207355
41,"140;205;269;312",91664.632660,false,6452.451424,23659.643600,74875.210336,48229.864934
42,"140;205;289;312",93402.661784,false,6930.790418,24075.926089,73390.632986,51401.257567
43,"140;205;279;302",92807.747397,true,6339.986123,24363.574433,75572.623544,48635.750138
44,"140;205;279;322",92788.215386,false,6426.133360,23937.618616,74633.879714,50215.047106
45,"140;188;298;296",97927.340550,false,7036.320563,25241.534748,75651.359800,55647.610676
46,"130;188;298;296",105922.986913,false,7601.825362,27732.104037,77200.899246,63977.215780
47,"150;188;298;296",100769.626371,false,6340.073899,26809.180991,74769.249483,60471.493480
48,"140;178;298;296",95854.811595,false,5609.523484,26614.109417,74762.174339,52500.183051
49,"130;178;298;296",102849.153362,false,5723.070740,29137.554517,76372.283520,59604.772689
50,"150;178;298;296",98740.609606,false,4989.183870,28254.074198,73695.792747,57298.910331
51,"140;168;298;296",96574.875811,false,6488.643015,25259.046115,78691.382463,50962.990900
52,"140;188;298;296",97927.340550,true,7036.320563,25241.534748,75651.359800,55647.610676
53,"140;178;288;296",94796.280019,false,5245.672157,26690.576787,74270.873396,51449.188753
54,"130;178;288;296",101714.875809,false,5371.527272,29216.530462,76247.049851,58006.586299
55,"150;178;288;296",97497.641887,false,4912.095033,28026.936471,73434.341597,55682.879168
56,"140;168;288;296",95640.822216,false,6193.023401,25331.434585,77799.729180,50432.999278
57,"140;188;288;296",96753.301586,false,6661.210171,25346.443905,75088.829473,54402.465548
58,"140;178;278;296",94747.821664,false,5200.153779,26554.650985,75321.396739,50664.637061
59,"130;178;278;296",100824.474365,false,5172.535035,28949.095107,77273.326177,56132.362268
60,"150;178;278;296",97191.402079,false,4843.365375,28212.982109,74589.521410,53680.587780
61,"140;168;278;296",95159.299049,false,6107.455234,24990.626721,78463.291578,49659.142611
62,"140;188;278;296",96765.751761,false,6560.566964,25257.115517,76351.405177,53544.733383
63,"140;178;268;296",93158.520489,false,4535.351324,26700.946492,75031.328357,48813.116990
64,"130;178;268;296",99357.661076,false,5006.380279,28854.668515,77408.947754,53584.276809
65,"150;178;268;296",95746.192963,false,4522.417716,28036.286440,75013.156917,51361.820695
66,"140;168;268;296",93416.324329,false,5361.534683,24983.536621,78555.515760,47586.990290
67,"140;188;268;296",95207.738614,false,5730.246065,25516.666238,76594.895156,51326.757466
68,"140;178;258;296",91416.687517,false,4935.051285,25832.834426,74886.045613,46411.557998
69,"130;178;258;296",96656.277696,false,5145.516912,27805.197454,76253.317750,51157.808910
70,"150;178;258;296",93956.370786,false,4756.471184,27425.356947,74221.373726,49327.711582
71,"140;168;258;296",92117.506234,false,5933.749264,24312.189281,77684.183481,46058.951896
72,"140;188;258;296",93652.003381,false,6228.242508,24855.850578,76462.614557,48673.206033
73,"140;178;248;296",94113.997737,false,4774.787011,26818.371883,74864.966296,50176.711388
74,"140;178;268;296",93158.520489,true,4535.351324,26700.946492,75031.328357,48813.116990
75,"140;178;258;286",90820.131510,false,4811.282339,25749.618064,75018.101296,45500.360918
76,"130;178;258;286",96484.741705,false,5054.073644,27970.606003,76609.804057,50310.320058
77,"150;178;258;286",93301.548981,false,4598.763413,27225.606969,74687.655004,48266.702193
78,"140;168;258;286",91636.040323,false,5865.538959,24298.727275,78092.987606,44850.560572
79,"140;188;258;286",92953.491362,false,6137.054785,24639.538144,76615.236499,47738.560368
80,"140;178;248;286",93263.533704,false,4777.664900,26600.879346,75230.773676,48539.205241
81,"140;178;268;286",93679.102232,false,4699.745679,26690.438299,76365.463303,48212.373206
82,"140;178;258;276",91451.709824,false,4702.234643,26068.612106,76612.291864,44749.434284
83,"140;178;258;296",91416.687517,true,4935.051285,25832.834426,74886.045613,46411.557998
84,"140;194;247;272",92669.351278,false,5919.101374,23944.531928,80244.208780,45367.227171
85,"130;194;247;272",98183.668882,false,6376.542016,26172.138913,81180.848317,50089.127588
86,"150;194;247;272",95086.477987,false,5894.241776,24900.467311,80120.486324,48463.051475
87,"140;184;247;272",92065.825530,false,5214.772142,24887.616948,79514.821143,44412.051737
88,"130;184;247;272",97690.982248,false,5693.807139,26971.845468,80547.161526,49503.497758
89,"150;184;247;272",94502.120504,false,5247.509046,25941.566283,78836.812442,47789.277910
90,"140;174;247;272",91596.922858,false,5004.318483,25293.114082,78797.870531,43801.110055
91,"130;174;247;272",96314.247230,false,5360.309793,27108.083283,80070.342336,47621.365971
92,"150;174;247;272",94441.009107,false,5069.466372,26499.416137,78303.986183,47440.267012
93,"140;164;247;272",92232.628746,false,5792.654129,23749.572783,81156.564061,44224.239608
94,"140;184;247;272",92065.825530,true,5214.772142,24887.616948,79514.821143,44412.051737
95,"140;174;237;272",91390.589556,false,4741.309944,25256.091558,78833.232925,43953.143183
96,"130;174;237;272",96087.529565,false,5094.921934,27406.948767,78982.260760,48189.056967
97,"150;174;237;272",94391.974748,false,4844.139874,26711.210007,78260.340605,47412.909129
98,"140;164;237;272",91805.066095,false,5490.301406,23848.888563,80710.043625,44221.708630
99,"140;184;237;272",91729.266557,false,5011.291372,25043.550920,78849.456145,44499.392384
100,"140;174;227;272",90928.310570,false,4898.404886,24938.556289,79404.069410,42778.629381
101,"130;174;227;272",95263.474199,false,5157.849142,27005.547441,79696.873611,46503.281621
102,"150;174;227;272",94080.959184,false,4968.210256,26449.268284,78713.850565,46613.110724
103,"140;164;227;272",91377.252329,false,5608.059274,23662.887606,81151.677014,43060.933885
104,"140;184;227;272",91246.581038,false,5056.842470,24806.878270,79436.292804,43329.427790
105,"140;174;217;272",91136.311490,false,4727.493945,24936.226836,79618.682999,43326.498421
106,"140;174;237;272",91390.589556,true,4741.309944,25256.091558,78833.232925,43953.143183
107,"140;174;227;262",95279.385008,false,4981.413245,26327.562183,79110.146706,48830.672454
108,"140;174;227;282",94102.691460,false,5151.219904,26540.765354,76300.606789,48520.805616
109,"156;178;242;301",97322.110584,false,4425.369502,29482.038483,73746.214183,53083.191015
110,"146;178;242;301",96680.848774,false,4399.911670,28648.987296,73486.606909,53777.292706
111,"136;178;242;301",97832.918526,false,4656.365096,28624.343075,74708.738133,54395.682576
112,"156;178;242;301",97322.110584,true,4425.369502,29482.038483,73746.214183,53083.191015
113,"146;168;242;301",97007.540117,false,5245.153553,27029.921367,75268.330693,54196.599701
114,"146;188;242;301",98743.740916,false,5440.385361,27489.422393,75089.583463,56538.282861
115,"146;178;232;301",97029.289497,false,4562.395111,28592.388818,73873.199107,53875.812028
116,"146;178;252;301",97381.736532,false,4748.686077,28435.675143,74005.228485,54389.522140
117,"146;178;242;291",96599.295915,false,4448.498609,28564.896916,74118.242311,53053.558468
118,"136;178;242;291",98157.997966,false,4581.459622,28462.230882,75465.088825,54763.526098
119,"156;178;242;291",97507.920653,false,4428.005528,29310.824087,74571.511470,52966.670608
120,"146;168;242;291",97216.009441,false,5247.395001,27192.055758,76204.660572,53348.456792
121,"146;188;242;291",98608.851285,false,5487.802767,27387.161910,75887.120510,55580.652705
122,"146;178;232;291",96869.067049,false,4563.477676,28455.016673,74597.662230,53103.483169
123,"146;178;252;291",97302.650213,false,4682.916999,28337.824584,74934.578311,53629.238949
124,"146;178;242;281",95730.408130,false,4282.461723,28536.984071,75124.992569,50696.932106
125,"136;178;242;281",96654.103819,false,4496.018418,28399.334534,75967.623299,51549.878436
126,"156;178;242;281",97034.445262,false,4508.701981,29265.202967,75712.604950,50808.475679
127,"146;168;242;281",96539.225464,false,5228.075074,27074.239351,77208.852504,51264.969573
128,"146;188;242;281",97464.404168,false,5337.594204,27222.035670,76996.100683,52813.447906
129,"146;178;232;281",95895.690496,false,4468.174048,28442.417975,75396.808605,50573.388341
130,"146;178;252;281",96734.939829,false,4543.365835,28533.773370,75392.979661,51922.621586
131,"146;178;242;271",93052.135756,false,3933.712725,27386.195705,77202.589718,46261.864932
132,"136;178;242;271",94294.333023,false,4158.582209,27674.292027,77945.347388,46977.570186
133,"156;178;242;271",94862.971498,false,3972.729574,28423.582266,78172.465761,46760.853556
134,"146;168;242;271",93524.287824,false,4783.294205,25994.522474,79676.732278,45816.210012
135,"146;188;242;271",94422.627517,false,4887.045683,26243.786093,78697.919763,47885.671718
136,"146;178;232;271",93527.569918,false,4154.634813,27333.973000,77722.824620,46355.099591
137,"146;178;252;271",94598.685959,false,4270.702563,27454.205300,77858.372927,47889.183264
138,"146;178;242;261",98262.196693,false,4284.952137,29097.255562,77289.055866,52470.922123
139,"146;178;242;281",95730.408130,true,4282.461723,28536.984071,75124.992569,50696.932106
140,"123;196;240;286",103272.728296,false,6936.567561,27451.474867,78336.606238,59432.765496
141,"113;196;240;286",105167.019096,false,7142.779451,27775.436528,79852.991904,60644.614330
142,"133;196;240;286",100732.103260,false,6408.642649,26877.476089,78073.122974,56818.846070
143,"123;196;240;286",103272.728296,true,6936.567561,27451.474867,78336.606238,59432.765496
144,"143;196;240;286",98599.360773,false,6089.762336,26179.234310,77493.859478,55166.868776
145,"133;196;240;286",100732.103260,true,6408.642649,26877.476089,78073.122974,56818.846070
146,"153;196;240;286",99544.309238,false,5925.052196,27387.760424,77516.012176,54946.981060
147,"143;186;240;286",97795.199781,false,5447.671523,27114.087787,75514.736723,54952.144220
148,"133;186;240;286",99808.236818,false,5739.072641,27724.571387,75771.250269,56917.935310
149,"153;186;240;286",98943.857974,false,5361.052907,28283.730994,75673.586671,54924.561476
150,"143;176;240;286",96970.282039,false,5003.229450,27469.914219,76292.099869,52702.176871
151,"133;176;240;286",99056.070308,false,5155.847721,28082.087047,77170.558966,54465.712113
152,"153;176;240;286",98444.404863,false,5094.682076,28651.458982,76044.337319,53352.190289
153,"143;166;240;286",97601.264023,false,5898.461526,25829.946228,77404.820191,54340.892347
154,"143;186;240;286",97795.199781,true,5447.671523,27114.087787,75514.736723,54952.144220
