improvement,eval,angles_deg,objective
0,1,35;160;250;345,103979.676688
1,2,30;160;250;345,103948.230961
2,3,25;160;250;345,103887.050177
3,9,25;160;255;345,101584.789728
4,12,25;155;255;345,101580.710953
5,14,30;155;255;345,100931.120357
6,17,30;150;255;345,99150.985216
7,20,30;145;255;345,98966.981592
8,23,30;140;255;345,95136.592163
9,25,35;140;255;345,95004.295013
10,27,40;140;255;345,94942.189603
11,35,40;140;255;350,94776.430325
12,36,35;140;255;350,94731.829620
13,46,43;140;255;356,94594.098496
14,53,38;140;257;356,92371.371669
15,61,38;140;257;1,92006.353874
16,62,33;140;257;1,91917.305403
17,235,34;141;258;1,91588.105905
18,256,36;141;272;7,91430.630739
19,263,36;141;272;2,90643.951374
20,270,36;141;272;357,90522.723352
21,272,41;141;272;357,90475.929999
22,274,46;141;272;357,90453.461024
23,276,51;141;272;357,90309.970168
24,278,56;141;272;357,90245.005402
25,280,61;141;272;357,90194.511798
26,282,66;141;272;357,90157.886946
