rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,8,17,0;35;95;140,0;35;87;140,1,2,8,92511.731599,94867.886146
1,2,17,18,0;35;87;140,0;35;87;147,1,3,7,94867.886146,99960.665673
1,3,18,19,0;35;87;147,0;28;87;147,1,1,7,99960.665673,100458.398329
2,1,55,64,0;33;102;142,0;24;102;142,1,1,9,91053.058516,91725.497349
2,2,64,65,0;24;102;142,9;24;102;142,1,0,9,91725.497349,93176.540077
2,3,65,66,9;24;102;142,9;24;110;142,1,2,8,93176.540077,97485.807125
3,1,55,94,0;33;102;142,354;33;102;142,1,0,6,91053.058516,91574.018077
3,2,94,95,354;33;102;142,354;33;93;142,1,2,9,91574.018077,95039.512481
3,3,95,96,354;33;93;142,354;33;93;136,1,3,6,95039.512481,97400.349623
4,1,131,140,359;33;103;141,359;26;103;141,1,1,7,90489.295254,90848.275838
4,2,140,141,359;26;103;141,359;26;103;150,1,3,9,90848.275838,94876.029954
4,3,141,142,359;26;103;150,5;26;103;150,1,0,6,94876.029954,95520.194173
5,1,131,160,359;33;103;141,359;40;103;141,1,1,7,90489.295254,90858.377425
5,2,160,161,359;40;103;141,350;40;103;141,1,0,9,90858.377425,91590.820126
5,3,161,162,350;40;103;141,350;40;110;141,1,2,7,91590.820126,93723.457722
6,1,131,183,359;33;103;141,350;33;103;141,1,0,9,90489.295254,91370.126417
6,2,183,184,350;33;103;141,350;25;103;141,1,1,8,91370.126417,91757.552365
6,3,184,185,350;25;103;141,350;25;112;141,1,2,9,91757.552365,94695.20459
7,1,207,216,0;35;102;141,0;26;102;141,1,1,9,88961.748358,89176.267575
7,2,216,217,0;26;102;141,351;26;102;141,1,0,9,89176.267575,89962.867644
7,3,217,218,351;26;102;141,351;26;96;141,1,2,6,89962.867644,92946.009917
8,1,207,239,0;35;102;141,0;35;102;149,1,3,8,88961.748358,93920.526885
8,2,239,240,0;35;102;149,352;35;102;149,1,0,8,93920.526885,94824.130816
8,3,240,241,352;35;102;149,352;42;102;149,1,1,7,94824.130816,94393.481997
9,1,207,259,0;35;102;141,0;35;109;141,1,2,7,88961.748358,91862.374425
9,2,259,260,0;35;109;141,0;41;109;141,1,1,6,91862.374425,91827.7458
9,3,260,261,0;41;109;141,0;41;109;149,1,3,8,91827.7458,97122.060583
10,1,207,285,0;35;102;141,353;35;102;141,1,0,7,88961.748358,89280.161434
10,2,285,286,353;35;102;141,353;35;111;141,1,2,9,89280.161434,93033.873568
10,3,286,287,353;35;111;141,353;35;111;150,1,3,9,93033.873568,98222.490575
