eval,angles_deg,objective,cached
1,"5;45;95;140",93275.782955,false
2,"0;45;95;140",92723.266268,false
3,"355;45;95;140",93153.939336,false
4,"5;45;95;140",93275.782955,true
5,"0;40;95;140",92587.756625,false
6,"355;40;95;140",93248.127343,false
7,"5;40;95;140",93287.577230,false
8,"0;35;95;140",92511.731599,false
9,"355;35;95;140",93359.016763,false
10,"5;35;95;140",93205.570306,false
11,"0;30;95;140",92513.992145,false
12,"0;40;95;140",92587.756625,true
13,"0;35;90;140",94348.439950,false
14,"0;35;100;140",92827.070815,false
15,"0;35;95;135",96665.500429,false
16,"0;35;95;145",96482.668885,false
17,"0;35;87;140",94867.886146,false
18,"0;35;87;147",99960.665673,false
19,"0;28;87;147",100458.398329,false
20,"355;28;87;147",101202.834001,false
21,"5;28;87;147",101357.943913,false
22,"0;23;87;147",100699.182706,false
23,"0;33;87;147",99697.688478,false
24,"355;33;87;147",100619.063315,false
25,"5;33;87;147",100577.130125,false
26,"0;28;87;147",100458.398329,true
27,"0;38;87;147",99615.004657,false
28,"355;38;87;147",100516.515058,false
29,"5;38;87;147",100445.206811,false
30,"0;33;87;147",99697.688478,true
31,"0;43;87;147",99851.532678,false
32,"0;38;82;147",100606.598092,false
33,"0;38;92;147",97176.224206,false
34,"355;38;92;147",98014.967613,false
35,"5;38;92;147",97754.707481,false
36,"0;33;92;147",97353.263754,false
37,"0;43;92;147",97407.611891,false
38,"0;38;87;147",99615.004657,true
39,"0;38;97;147",96289.002089,false
40,"355;38;97;147",97163.852737,false
41,"5;38;97;147",96927.581619,false
42,"0;33;97;147",96450.033804,false
43,"0;43;97;147",96398.392390,false
44,"0;38;92;147",97176.224206,true
45,"0;38;102;147",92954.892969,false
46,"355;38;102;147",93796.711590,false
47,"5;38;102;147",93726.452260,false
48,"0;33;102;147",93006.983692,false
49,"0;43;102;147",93110.376924,false
50,"0;38;97;147",96289.002089,true
51,"0;38;107;147",96601.729730,false
52,"0;38;102;142",91055.835667,false
53,"355;38;102;142",91892.331237,false
54,"5;38;102;142",91815.623016,false
55,"0;33;102;142",91053.058516,false
56,"355;33;102;142",91916.883423,false
57,"5;33;102;142",91790.559401,false
58,"0;28;102;142",91557.819246,false
59,"0;38;102;142",91055.835667,true
60,"0;33;97;142",94186.362365,false
61,"0;33;107;142",94174.918294,false
62,"0;33;102;137",93450.551494,false
63,"0;33;102;147",93006.983692,true
64,"0;24;102;142",91725.497349,false
65,"9;24;102;142",93176.540077,false
66,"9;24;110;142",97485.807125,false
67,"4;24;110;142",96331.343070,false
68,"359;24;110;142",95872.544883,false
69,"354;24;110;142",96491.437751,false
70,"4;24;110;142",96331.343070,true
71,"359;19;110;142",96329.109272,false
72,"359;29;110;142",95671.119761,false
73,"354;29;110;142",96221.665029,false
74,"4;29;110;142",96098.844995,false
75,"359;24;110;142",95872.544883,true
76,"359;34;110;142",95516.865272,false
77,"354;34;110;142",95976.041367,false
78,"4;34;110;142",95872.941370,false
79,"359;29;110;142",95671.119761,true
80,"359;39;110;142",95355.583836,false
81,"354;39;110;142",95784.801990,false
82,"4;39;110;142",95746.130686,false
