improvement,eval,angles_deg,objective
0,1,55;75;120;145,101787.384277
1,2,50;75;120;145,101514.988615
2,5,55;80;120;145,99561.783093
3,8,55;75;120;140,97720.412013
4,10,50;75;120;140,97576.874613
5,13,55;80;120;140,95652.553514
6,18,50;80;120;140,95613.930335
7,22,55;80;115;140,95117.204427
8,23,55;80;125;140,94419.402734
9,31,55;80;130;140,94179.564599
10,39,55;80;135;140,93975.967880
11,42,50;80;135;140,93940.490764
12,48,45;80;135;140,93850.482392
13,54,40;80;135;140,93175.399468
14,60,35;80;135;140,93050.181401
15,115,34;80;132;141,92717.869740
