eval,angles_deg,objective,cached,ptv_PTVHD_u2,ptv_PTVLD_u2,oar_BLADDER_v2,oar_RECTUM_v2
1,"160;200;205;245",105329.635142,false,5675.294447,29623.984837,82791.060324,57269.651392
2,"155;200;205;245",104184.024362,false,6191.999657,28670.155155,81034.232219,57609.506882
3,"150;200;205;245",102425.391863,false,6435.795154,27101.956194,80794.589769,56980.691261
4,"145;200;205;245",102515.656076,false,6019.509948,27542.342777,80317.989975,57589.616726
5,"155;200;205;245",104184.024362,true,6191.999657,28670.155155,81034.232219,57609.506882
6,"150;195;205;245",102028.623431,false,6382.953950,26999.534532,80203.502493,57088.767404
7,"145;195;205;245",102313.171579,false,6028.665501,27374.060662,80247.008966,57573.881866
8,"155;195;205;245",103826.278927,false,6192.686152,28453.430568,80809.212147,57551.112268
9,"150;190;205;245",101813.695865,false,6207.972321,27333.648377,79792.264007,56751.886327
10,"145;190;205;245",101737.089346,false,5768.513806,27692.295280,79293.224631,57259.335891
11,"140;190;205;245",98197.384952,false,5990.251584,26242.128088,78870.303041,53059.707519
12,"135;190;205;245",102409.602515,false,6083.716477,27900.618515,79610.891779,57239.643267
13,"145;190;205;245",101737.089346,true,5768.513806,27692.295280,79293.224631,57259.335891
14,"140;185;205;245",97107.449377,false,5310.344128,27161.532814,77695.182164,51575.962707
15,"135;185;205;245",100960.566210,false,5233.895222,28644.110328,78784.487092,55380.634228
16,"145;185;205;245",100442.814976,false,5137.050407,28607.737020,78082.621632,55313.433466
17,"140;180;205;245",96365.733691,false,4916.754924,27608.411396,77318.927356,50362.207387
18,"135;180;205;245",100160.013064,false,4787.491311,29298.480301,78246.211714,53901.871189
19,"145;180;205;245",99902.158251,false,4746.182318,29224.315632,77596.518015,54266.802586
20,"140;175;205;245",96448.809752,false,5064.547553,27355.624097,77732.710385,50324.565819
21,"140;185;205;245",97107.449377,true,5310.344128,27161.532814,77695.182164,51575.962707
22,"140;180;200;245",96906.928000,false,4979.554310,27765.394231,77676.806111,50647.152807
23,"140;180;210;245",96474.289482,false,4813.862339,27685.342683,77429.312507,50520.856412
24,"140;180;205;240",96125.971178,false,4909.426886,27543.059446,77525.261764,49821.707928
25,"135;180;205;240",99715.377723,false,4786.293155,29213.215247,78213.413755,53218.324886
26,"145;180;205;240",99642.497714,false,4817.213488,29175.969417,77773.829931,53524.799686
27,"140;175;205;240",96043.241352,false,4955.996068,27331.900342,77706.430185,49804.259699
28,"135;175;205;240",99923.978806,false,5047.671885,28783.468533,78941.593029,53244.083748
