rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,36,45,35;140;255;350,43;140;255;350,1,0,8,94731.82962,94898.842535
1,2,45,46,43;140;255;350,43;140;255;356,1,3,6,94898.842535,94594.098496
1,3,46,47,43;140;255;356,43;140;262;356,1,2,7,94594.098496,95560.292037
2,1,62,71,33;140;257;1,24;140;257;1,1,0,9,91917.305403,92424.917032
2,2,71,72,24;140;257;1,24;140;257;353,1,3,8,92424.917032,92991.729965
2,3,72,73,24;140;257;353,24;140;250;353,1,2,7,92991.729965,96728.123359
3,1,62,101,33;140;257;1,33;140;257;354,1,3,7,91917.305403,92301.114332
3,2,101,102,33;140;257;354,33;149;257;354,1,1,9,92301.114332,97527.489144
3,3,102,103,33;149;257;354,33;149;265;354,1,2,8,97527.489144,100272.967746
4,1,62,139,33;140;257;1,33;140;250;1,1,2,7,91917.305403,95681.754246
4,2,139,140,33;140;250;1,40;140;250;1,1,0,7,95681.754246,95834.808762
4,3,140,141,40;140;250;1,40;140;250;354,1,3,7,95834.808762,96122.834201
5,1,62,173,33;140;257;1,33;149;257;1,1,1,9,91917.305403,97265.986206
5,2,173,174,33;149;257;1,41;149;257;1,1,0,8,97265.986206,97126.921011
5,3,174,175,41;149;257;1,41;149;263;1,1,2,6,97126.921011,100066.543785
6,1,62,193,33;140;257;1,33;140;251;1,1,2,6,91917.305403,95240.626091
6,2,193,194,33;140;251;1,42;140;251;1,1,0,9,95240.626091,95183.972871
6,3,194,195,42;140;251;1,42;140;251;355,1,3,6,95183.972871,96059.826963
7,1,62,217,33;140;257;1,33;140;248;1,1,2,9,91917.305403,95496.386011
7,2,217,218,33;140;248;1,39;140;248;1,1,0,6,95496.386011,95457.211506
7,3,218,219,39;140;248;1,39;146;248;1,1,1,6,95457.211506,100109.68524
8,1,235,244,34;141;258;1,34;141;258;7,1,3,6,91588.105905,92587.259222
8,2,244,245,34;141;258;7,34;141;267;7,1,2,9,92587.259222,93648.818819
8,3,245,246,34;141;267;7,26;141;267;7,1,0,8,93648.818819,94360.46534
9,1,282,291,66;141;272;357,66;149;272;357,1,1,8,90157.886946,95168.113919
9,2,291,292,66;149;272;357,66;149;272;350,1,3,7,95168.113919,96582.55892
9,3,292,293,66;149;272;350,57;149;272;350,1,0,9,96582.55892,96556.02447
10,1,282,324,66;141;272;357,66;149;272;357,1,1,8,90157.886946,95168.113919
10,2,324,325,66;149;272;357,66;149;280;357,1,2,8,95168.113919,97863.761119
10,3,325,326,66;149;280;357,66;149;280;349,1,3,8,97863.761119,99398.777645
