improvement,eval,angles_deg,objective
0,1,219;230;316;317,102453.941227
1,3,224;230;316;317,101410.894468
2,4,219;225;316;317,100348.770272
3,6,219;230;311;317,100244.282043
4,11,224;230;311;317,98993.535319
5,12,219;225;311;317,98097.998985
6,22,219;225;306;317,97268.250626
7,26,214;225;306;317,96932.710351
8,78,226;234;306;331,96690.255236
9,115,232;258;309;331,96209.450079
10,120,227;258;309;331,95679.835865
11,128,222;258;309;331,94759.081726
12,142,222;258;309;326,94220.104976
