eval,angles_deg,objective,cached,ptv_PTVHD_u2,ptv_PTVLD_u2,oar_BLADDER_v2,oar_RECTUM_v2
1,"34;53;174;182",115394.673774,false,5019.310165,36316.005742,83789.547448,64329.168286
2,"29;53;174;182",113661.901039,false,5003.580455,35880.593304,82820.891424,62734.563135
3,"39;53;174;182",117046.597578,false,5072.725878,36862.924457,84128.901715,66092.992771
4,"34;48;174;182",117959.555285,false,5257.705281,37054.864980,85498.338590,65795.631459
5,"34;58;174;182",113173.827939,false,4975.018628,35673.666492,82405.021348,62645.264291
6,"34;53;169;182",109496.654026,false,5086.939372,34476.335766,81245.312751,58621.445023
7,"34;53;179;182",129014.149876,false,5487.451475,41226.996515,91300.079077,73299.324695
8,"34;53;174;177",120785.699298,false,4892.971578,39442.283970,87414.726435,65486.161067
9,"34;53;174;187",113010.087400,false,5267.780652,35154.021829,82920.173882,62256.395956
10,"29;53;169;182",108754.003186,false,5030.585894,34365.448821,80719.309632,57996.627310
11,"39;53;169;182",110143.278072,false,5105.473157,34696.949910,81091.036316,59590.673693
12,"34;48;169;182",110850.435062,false,5293.228670,34793.386838,82508.346787,59019.292321
13,"34;58;169;182",108398.614005,false,5004.924417,34158.904596,80403.474681,58066.095304
14,"34;53;164;182",107224.002147,false,5330.363878,32582.883778,80202.533165,58418.975816
15,"34;53;174;182",115394.673774,true,5019.310165,36316.005742,83789.547448,64329.168286
16,"34;53;169;177",111675.910238,false,4780.989804,35644.244417,81939.194283,60562.157751
17,"34;53;169;187",108196.471945,false,5165.824413,33480.356382,81007.561784,58093.020515
18,"29;53;164;182",106972.447441,false,5270.193312,32625.129222,79650.776465,58503.473350
19,"39;53;164;182",107099.851025,false,5352.606336,32478.541765,80166.209524,58371.196322
20,"34;48;164;182",107455.290321,false,5467.387184,32586.427490,81290.258443,57512.692850
21,"34;58;164;182",106576.575465,false,5172.161809,32456.206206,79461.796221,58434.618678
22,"34;53;159;182",105317.341938,false,5320.881137,31512.713170,79035.031616,57932.463647
23,"34;53;169;182",109496.654026,true,5086.939372,34476.335766,81245.312751,58621.445023
24,"34;53;164;177",107234.942807,false,5031.354279,33263.740991,79674.978840,58204.716236
25,"34;53;164;187",106464.752142,false,5425.690337,31988.562713,79852.939606,58248.058577
