improvement,eval,angles_deg,objective
0,1,39;41;87;228,118566.805177
1,2,34;41;87;228,117028.226409
2,3,29;41;87;228,115699.841756
3,4,24;41;87;228,114857.800702
4,5,19;41;87;228,113339.706559
5,6,14;41;87;228,111603.064447
6,7,9;41;87;228,109355.624666
7,8,4;41;87;228,107005.562297
8,9,359;41;87;228,105349.179618
9,10,354;41;87;228,104472.146715
10,11,349;41;87;228,103841.227575
11,12,344;41;87;228,102534.438985
12,13,339;41;87;228,101229.033851
13,14,334;41;87;228,100492.474152
14,15,329;41;87;228,100006.650705
15,16,324;41;87;228,99493.021491
16,22,324;41;92;228,97344.601395
17,28,324;41;97;228,96558.156082
18,31,324;36;97;228,96477.184942
19,34,324;31;97;228,96448.932974
20,40,324;31;102;228,92886.568685
21,47,324;31;102;223,92837.567655
22,59,317;17;102;217,92418.794310
23,66,317;17;102;212,92180.796786
24,73,317;17;102;207,92043.179181
