improvement,eval,angles_deg,objective
0,1,34;38;120;121,108689.649337
1,2,29;38;120;121,107446.336612
2,6,34;38;115;121,106572.796225
3,7,34;38;125;121,105678.715688
4,9,34;38;120;126,105192.725272
5,11,34;38;120;131,103098.626473
6,19,34;38;120;136,102449.024186
7,24,34;38;115;131,102264.562992
8,26,34;38;110;131,101180.855873
9,34,34;38;105;131,98707.753722
10,45,34;38;105;136,98134.539993
11,51,34;38;105;141,93315.453640
12,60,29;38;105;141,93172.882446
13,66,24;38;105;141,93022.410210
14,74,19;38;105;141,92277.329880
15,82,14;38;105;141,92051.504350
16,92,14;33;105;141,91962.491837
17,156,3;42;103;141,90498.146696
