improvement,eval,angles_deg,objective
0,1,76;80;312;340,99620.970779
1,2,71;80;312;340,99455.483875
2,3,81;80;312;340,98247.884940
3,14,81;80;307;340,97681.957836
4,24,81;80;307;335,96992.526324
5,61,95;78;306;335,95781.437971
6,68,100;78;306;335,95645.440506
7,76,105;78;306;335,94665.091129
8,126,105;60;310;353,94596.847346
9,139,105;60;310;358,94585.895750
10,224,105;53;311;0,94543.722645
11,227,105;58;316;0,94260.874205
12,232,105;53;316;0,94012.083511
13,372,102;47;310;0,92199.461972
14,381,102;42;310;0,92168.704419
