improvement,eval,angles_deg,objective
0,1,240;274;326;344,98222.879942
1,5,240;279;326;344,97901.991283
2,11,240;279;331;344,97824.638518
3,18,240;279;331;339,97502.016991
4,36,226;271;335;339,96621.755301
5,41,226;271;330;339,95244.184139
6,46,226;271;325;339,94925.019547
7,74,226;270;317;345,94758.625418
8,78,226;275;317;345,94649.598980
9,82,226;280;317;345,94452.334677
10,87,226;280;312;345,94153.819928
11,94,226;280;312;340,94065.844676
12,101,226;280;312;335,94042.624910
13,107,226;280;317;335,93937.216305
