rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,20,29,105;140;255;0,105;208;175;292,3,,,91538.474948,98856.534921
2,1,20,66,105;140;255;0,153;140;181;86,3,,,91538.474948,95973.625469
3,1,20,83,105;140;255;0,19;189;255;83,3,,,91538.474948,118587.867962
4,1,20,146,105;140;255;0,186;61;255;71,3,,,91538.474948,128282.252817
5,1,20,195,105;140;255;0,38;140;340;50,3,,,91538.474948,97840.807316
6,1,20,215,105;140;255;0,173;195;255;299,3,,,91538.474948,99979.438407
7,1,20,247,105;140;255;0,187;140;205;277,3,,,91538.474948,94876.21349
8,1,278,287,187;140;225;272,187;222;150;340,3,,,90743.842209,98164.361317
9,1,278,320,187;140;225;272,128;218;301;272,3,,,90743.842209,96685.969231
10,1,278,351,187;140;225;272,254;223;156;272,3,,,90743.842209,96774.635874
