step,catalog,strategy,variant,obj_mean,obj_median,evals_mean,time_mean_s,n_seeds
5,restricted,first,fixed,96072.43303693333,96156.596638,33.53333333333333,,15
5,restricted,first,random,96010.20091586666,95697.167262,33.333333333333336,130.46666666666667,15
5,restricted,first,circular,96067.97606153334,95710.754464,24.666666666666668,131.06666666666666,15
5,restricted,best,fixed,96083.60978613334,95900.635959,58.266666666666666,,15
5,restricted,best,random,96083.60978613334,95900.635959,58.266666666666666,248.26666666666668,15
5,restricted,best,circular,96083.60978613334,95900.635959,58.266666666666666,285.6666666666667,15
5,unrestricted,first,fixed,94306.69043573333,94537.666825,37.6,,15
5,unrestricted,first,random,94566.07424513334,95123.763158,34.13333333333333,138.78571428571428,15
5,unrestricted,first,circular,94306.69043573333,94537.666825,26.066666666666666,136.4,15
5,unrestricted,best,fixed,94569.335012,94883.543021,60.666666666666664,,15
5,unrestricted,best,random,94569.335012,94883.543021,60.666666666666664,222.53333333333333,15
5,unrestricted,best,circular,94569.335012,94883.543021,60.666666666666664,289.26666666666665,15
10,restricted,first,fixed,94819.85905,94834.671519,35.46666666666667,,15
10,restricted,first,random,95793.8537114,95733.99294,25.866666666666667,103.8,15
10,restricted,first,circular,95014.14735126667,94834.671519,26.466666666666665,139.66666666666666,15
10,restricted,best,fixed,96019.987898,95798.679594,47.06666666666667,,15
10,restricted,best,random,96019.987898,95798.679594,47.06666666666667,176.58333333333334,15
10,restricted,best,circular,96019.987898,95798.679594,47.06666666666667,238.4,15
10,unrestricted,first,fixed,94858.30682846667,95524.839453,24.666666666666668,,15
10,unrestricted,first,random,94195.18861273334,93348.307794,26.4,105.06666666666666,15
10,unrestricted,first,circular,94775.40838253334,94608.446678,21.6,119,15
10,unrestricted,best,fixed,94559.3496334,94721.800412,44,,15
10,unrestricted,best,random,94209.6636348,93822.339315,48.8,187.8,15
10,unrestricted,best,circular,94209.6636348,93822.339315,48.8,243.33333333333334,15
