improvement,eval,angles_deg,objective
0,1,20;35;55;220,150183.332532
1,2,10;35;55;220,138409.230559
2,3,0;35;55;220,124553.979240
3,4,350;35;55;220,113536.512975
4,5,340;35;55;220,106408.983888
5,6,330;35;55;220,102909.356089
6,9,330;25;55;220,102807.718100
7,10,330;15;55;220,101759.225802
8,11,330;5;55;220,101053.022533
9,12,330;355;55;220,100530.732134
10,16,330;355;65;220,100122.698787
11,18,330;355;75;220,99708.407115
12,20,330;355;85;220,98758.878743
13,22,330;355;95;220,96385.709539
14,24,330;355;105;220,94694.557724
15,28,330;355;105;230,94598.529478
16,34,330;5;105;230,94579.293448
17,36,330;15;105;230,94507.147918
