improvement,eval,angles_deg,objective
0,1,65;205;325;335,102492.886447
1,3,75;205;325;335,101953.669296
2,6,65;205;315;335,101836.855604
3,9,75;205;315;335,101065.711219
4,12,65;205;305;335,100725.390559
5,17,75;205;305;335,100454.957118
6,25,85;205;305;335,99793.799487
7,33,95;205;305;335,96763.086214
8,41,105;205;305;335,95833.633803
9,53,105;205;315;335,95819.637398
10,59,105;215;315;335,95698.181535
11,62,105;205;315;325,95164.991745
12,67,105;215;315;325,95077.599052
13,73,105;225;315;325,93506.094520
