eval,angles_deg,objective,cached
1,"70;95;290;345",99580.925114,false
2,"60;95;290;345",99108.395650,false
3,"50;95;290;345",99380.941394,false
4,"70;95;290;345",99580.925114,true
5,"60;85;290;345",101824.510923,false
6,"60;105;290;345",97896.739907,false
7,"50;105;290;345",98032.164444,false
8,"70;105;290;345",98859.456946,false
9,"60;95;290;345",99108.395650,true
10,"60;115;290;345",101245.243470,false
11,"60;105;280;345",97194.060781,false
12,"50;105;280;345",97432.879447,false
13,"70;105;280;345",98028.680981,false
14,"60;95;280;345",98503.340333,false
15,"60;115;280;345",99192.239064,false
16,"60;105;270;345",96542.933662,false
17,"50;105;270;345",97128.282257,false
18,"70;105;270;345",97528.713562,false
19,"60;95;270;345",99831.941972,false
20,"60;115;270;345",98338.913646,false
21,"60;105;260;345",98648.576314,false
22,"60;105;280;345",97194.060781,true
23,"60;105;270;335",94787.666880,false
24,"50;105;270;335",95487.960553,false
25,"70;105;270;335",95691.255407,false
26,"60;95;270;335",97836.915080,false
27,"60;115;270;335",97060.517134,false
28,"60;105;260;335",96847.768227,false
29,"60;105;280;335",95527.705690,false
30,"60;105;270;325",94470.210488,false
31,"50;105;270;325",94794.440510,false
32,"70;105;270;325",95492.233102,false
33,"60;95;270;325",97350.604204,false
34,"60;115;270;325",96725.007592,false
35,"60;105;260;325",96819.164957,false
36,"60;105;280;325",95399.788727,false
37,"60;105;270;315",94972.879553,false
38,"60;105;270;335",94787.666880,true
