improvement,eval,angles_deg,objective
0,1,20;35;55;220,150183.332532
1,2,10;35;55;220,138409.230559
2,3,0;35;55;220,124553.979240
3,4,350;35;55;220,113536.512975
4,5,340;35;55;220,106408.983888
5,6,330;35;55;220,102909.356089
6,9,330;25;55;220,102807.718100
7,12,330;15;55;220,101759.225802
8,15,330;5;55;220,101053.022533
9,18,330;355;55;220,100530.732134
10,24,330;355;65;220,100122.698787
11,25,320;355;65;220,100030.624586
12,26,310;355;65;220,99159.273193
13,32,310;355;75;220,98633.486021
14,38,310;355;85;220,98067.707034
15,44,310;355;95;220,95496.273291
16,50,310;355;105;220,94348.203518
17,58,310;355;105;230,94267.521544
