improvement,eval,angles_deg,objective
0,1,150;165;348;358,107041.286707
1,2,140;165;348;358,100626.316779
2,10,140;155;348;358,100111.420160
3,11,140;175;348;358,98895.072360
4,12,140;165;338;358,98405.979090
5,14,140;165;328;358,97284.564901
6,22,140;165;318;358,97170.826242
7,25,140;165;328;8,96745.038866
8,31,140;165;328;18,95800.059702
9,43,140;175;328;18,95028.954890
10,48,140;175;318;18,94789.598349
11,54,140;175;308;18,92983.644846
12,65,140;175;308;28,92776.446474
13,71,140;175;308;38,92678.613679
14,79,140;175;308;48,92588.980081
15,87,140;175;308;58,92338.854242
