eval,angles_deg,objective,cached,ptv_PTVHD_u2,ptv_PTVLD_u2,oar_BLADDER_v2,oar_RECTUM_v2
1,"123;180;193;308",100346.543800,false,5352.600066,28872.625732,74006.727330,58235.908674
2,"113;180;193;308",99289.943082,false,5455.480533,28747.833729,74014.165577,56159.092063
3,"103;180;193;308",95256.612888,false,4987.656554,27766.771678,74138.449454,50865.919857
4,"93;180;193;308",98334.930096,false,5195.137234,28505.248311,75929.141742,53339.947360
5,"113;180;193;308",99289.943082,true,5455.480533,28747.833729,74014.165577,56159.092063
6,"103;170;193;308",94889.196353,false,5417.057463,26792.132464,74074.150215,51285.862637
7,"103;160;193;308",93782.621993,false,5531.521057,25653.205787,74673.931383,50521.858915
8,"103;150;193;308",93809.429571,false,5834.590994,24992.052997,73377.447119,52588.124041
9,"103;170;193;308",94889.196353,true,5417.057463,26792.132464,74074.150215,51285.862637
10,"103;160;183;308",92235.691254,false,4529.918953,26820.213960,73654.490080,48116.626602
11,"103;160;173;308",94189.767422,false,5289.765534,26045.064481,76440.272821,49269.601992
12,"103;160;193;308",93782.621993,true,5531.521057,25653.205787,74673.931383,50521.858915
13,"103;160;183;298",94663.440068,false,4319.410803,28155.050282,75844.314890,48533.643079
14,"103;160;183;318",93699.547087,false,4514.991366,27728.252381,72483.990165,50428.616517
15,"93;160;183;308",95734.666400,false,4742.359891,27567.114055,75561.728808,51288.656101
16,"113;160;183;308",96583.369263,false,4831.427266,27845.774288,73600.378407,54211.957011
17,"103;150;183;308",92389.930352,false,4717.037371,26190.393293,72456.764057,50508.235318
18,"103;170;183;308",93765.180783,false,4569.945659,27777.916433,73383.142578,49451.494804
