improvement,eval,angles_deg,objective
0,1,88;91;113;188,108990.411369
1,2,78;91;113;188,104704.632676
2,10,68;91;113;188,104676.190059
3,13,78;101;113;188,103885.201061
4,15,78;91;123;188,102807.696123
5,16,78;91;113;178,101018.275340
6,21,78;101;113;178,100174.327804
7,23,78;91;123;178,99454.371132
8,24,78;91;113;168,99433.698851
9,28,78;81;113;168,99322.322333
10,29,78;101;113;168,98315.558949
11,31,78;91;123;168,98108.223418
12,36,78;81;123;168,97930.760403
13,37,78;101;123;168,97469.799019
14,47,78;101;133;168,96097.741661
15,55,78;101;143;168,95352.683721
16,65,78;101;143;178,94721.800412
