eval,angles_deg,objective,cached
1,"113;162;167;271",99043.230967,false
2,"103;162;167;271",99483.814614,false
3,"123;162;167;271",97973.742791,false
4,"113;152;167;271",97180.757617,false
5,"113;172;167;271",98448.386118,false
6,"113;162;157;271",99188.582053,false
7,"113;162;177;271",97454.513852,false
8,"113;162;167;261",102818.324412,false
9,"113;162;167;281",102318.565174,false
10,"103;152;167;271",96343.065893,false
11,"123;152;167;271",96879.579793,false
12,"113;142;167;271",93834.574275,false
13,"113;162;167;271",99043.230967,true
14,"113;152;157;271",98666.085895,false
15,"113;152;177;271",95342.394949,false
16,"113;152;167;261",101201.197343,false
17,"113;152;167;281",99927.907886,false
18,"103;142;167;271",92569.834527,false
19,"123;142;167;271",93557.504993,false
20,"113;132;167;271",96172.615664,false
21,"113;152;167;271",97180.757617,true
22,"113;142;157;271",95687.331251,false
23,"113;142;177;271",93171.597666,false
24,"113;142;167;261",97430.158027,false
25,"113;142;167;281",95969.826943,false
26,"93;142;167;271",94207.251052,false
27,"113;142;167;271",93834.574275,true
28,"103;132;167;271",94797.113980,false
29,"103;152;167;271",96343.065893,true
30,"103;142;157;271",94492.274090,false
31,"103;142;177;271",91922.650831,false
32,"103;142;167;261",94840.664530,false
33,"103;142;167;281",94052.876340,false
34,"93;142;177;271",94113.127434,false
35,"113;142;177;271",93171.597666,true
36,"103;132;177;271",94448.290071,false
37,"103;152;177;271",94174.652784,false
38,"103;142;167;271",92569.834527,true
39,"103;142;187;271",92437.153336,false
40,"103;142;177;261",93946.578380,false
41,"103;142;177;281",93635.333610,false
