improvement,eval,angles_deg,objective
0,1,5;100;115;355,100695.594187
1,3,10;100;115;355,100014.569438
2,8,5;100;115;350,99962.308900
3,10,0;100;115;350,99854.542726
4,11,10;100;115;350,99633.029072
5,13,5;105;115;350,99250.408041
6,18,0;105;115;350,99250.395488
7,19,10;105;115;350,98707.596950
8,23,5;105;120;350,98583.082702
9,24,5;105;115;345,98572.446223
10,26,0;105;115;345,98545.460601
11,30,5;105;110;345,98541.422017
12,31,5;105;120;345,98073.809529
13,34,0;105;120;345,98038.671824
14,39,5;105;125;345,97978.388648
15,42,0;105;125;345,97665.369604
16,56,0;105;125;340,97333.488100
17,64,0;105;125;335,96680.352971
18,70,0;105;120;335,96652.813383
19,72,0;105;125;330,96545.116232
20,78,0;105;120;330,96419.608195
21,88,0;105;120;325,96317.473539
22,94,0;105;115;325,96176.683320
23,102,0;105;110;325,96087.171159
24,110,0;105;110;320,96063.112516
