eval,angles_deg,objective,cached
1,"70;95;290;345",99580.925114,false
2,"65;95;290;345",99906.994042,false
3,"75;95;290;345",100835.423308,false
4,"70;90;290;345",101511.128825,false
5,"70;100;290;345",99493.820521,false
6,"70;95;285;345",99800.022671,false
7,"70;95;295;345",100087.711332,false
8,"70;95;290;340",99076.833221,false
9,"70;95;290;350",99498.377245,false
10,"65;95;290;340",99446.642778,false
11,"75;95;290;340",99872.215742,false
12,"70;90;290;340",101180.370441,false
13,"70;100;290;340",99346.272629,false
14,"70;95;285;340",99233.273336,false
15,"70;95;295;340",99834.108876,false
16,"70;95;290;335",97784.183672,false
17,"70;95;290;345",99580.925114,true
18,"65;95;290;335",97948.198427,false
19,"75;95;290;335",98495.103469,false
20,"70;90;290;335",99947.746992,false
21,"70;100;290;335",98010.113490,false
22,"70;95;285;335",97921.860806,false
23,"70;95;295;335",98685.208136,false
24,"70;95;290;330",97770.134951,false
25,"70;95;290;340",99076.833221,true
26,"65;95;290;330",98073.495010,false
27,"75;95;290;330",98899.470255,false
28,"70;90;290;330",99972.121515,false
29,"70;100;290;330",98014.280195,false
30,"70;95;285;330",97812.397733,false
31,"70;95;295;330",98414.323003,false
32,"70;95;290;325",98051.655457,false
33,"70;95;290;335",97784.183672,true
