eval,angles_deg,objective,cached
1,"70;95;290;345",99580.925114,false
2,"65;95;290;345",99906.994042,false
3,"75;95;290;345",100835.423308,false
4,"70;90;290;345",101511.128825,false
5,"70;100;290;345",99493.820521,false
6,"65;100;290;345",99611.329752,false
7,"75;100;290;345",100907.899421,false
8,"70;95;290;345",99580.925114,true
9,"70;105;290;345",98859.456946,false
10,"65;105;290;345",98377.948970,false
11,"60;105;290;345",97896.739907,false
12,"55;105;290;345",97972.748854,false
13,"65;105;290;345",98377.948970,true
14,"60;100;290;345",99739.492140,false
15,"60;110;290;345",100189.661148,false
16,"60;105;285;345",98254.478331,false
17,"60;105;295;345",98060.253864,false
18,"60;105;290;340",97271.134872,false
19,"55;105;290;340",97374.425696,false
20,"65;105;290;340",97941.642252,false
21,"60;100;290;340",98942.643171,false
22,"60;110;290;340",99829.160618,false
23,"60;105;285;340",97687.064672,false
24,"60;105;295;340",97538.045235,false
25,"60;105;290;335",96187.389160,false
26,"55;105;290;335",96307.102897,false
27,"65;105;290;335",96731.117590,false
28,"60;100;290;335",97463.654283,false
29,"60;110;290;335",98737.232907,false
30,"60;105;285;335",96485.545919,false
31,"60;105;295;335",96580.156031,false
32,"60;105;290;330",96156.596638,false
33,"55;105;290;330",96299.434863,false
34,"65;105;290;330",96822.195780,false
35,"60;100;290;330",97507.288135,false
36,"60;110;290;330",98927.200484,false
37,"60;105;285;330",96491.136998,false
38,"60;105;295;330",96905.403753,false
39,"60;105;290;325",96299.351663,false
40,"60;105;290;335",96187.389160,true
