improvement,eval,angles_deg,objective
0,1,20;35;55;220,150183.332532
1,2,15;35;55;220,143917.534946
2,7,20;35;60;220,140575.615826
3,11,20;35;65;220,133758.836576
4,19,20;35;70;220,128460.253879
5,27,20;35;75;220,124906.363031
6,30,15;35;70;220,124482.316209
7,34,10;35;70;220,121648.248615
8,39,15;35;75;220,121346.139540
9,41,15;35;70;225,121047.350948
10,44,10;35;70;225,118354.731804
11,49,15;35;75;225,117945.335983
12,51,15;35;80;225,112089.653804
13,59,15;35;85;225,110018.850242
14,62,10;35;80;225,109918.478959
15,66,5;35;80;225,106915.640096
16,74,0;35;80;225,103885.079466
17,82,355;35;80;225,102662.813606
18,90,350;35;80;225,100998.915405
19,98,345;35;80;225,99797.730462
20,106,340;35;80;225,98361.953484
21,114,335;35;80;225,96785.899742
22,122,330;35;80;225,96261.092754
23,130,325;35;80;225,96192.488692
24,141,325;40;80;225,96158.443271
