eval,angles_deg,objective,cached,ptv_PTVHD_u2,ptv_PTVLD_u2,oar_BLADDER_v2,oar_RECTUM_v2
1,"55;130;145;200",100191.694170,false,6016.378152,27832.145893,77234.021743,55452.318506
2,"50;130;145;200",100187.394874,false,6025.968963,27893.106144,77044.131590,55492.507944
3,"45;130;145;200",100232.572403,false,6118.524708,27827.001083,76935.417054,55638.676169
4,"55;130;145;200",100191.694170,true,6016.378152,27832.145893,77234.021743,55452.318506
5,"50;125;145;200",100137.200136,false,6087.975837,27669.652833,76507.313694,56251.829239
6,"50;120;145;200",100494.723495,false,5861.613740,27634.106512,76999.586337,56998.420150
7,"50;130;145;200",100187.394874,true,6025.968963,27893.106144,77044.131590,55492.507944
8,"50;125;140;200",96283.202505,false,6589.814439,26055.949166,76689.503961,50585.373840
9,"50;125;135;200",101579.433157,false,6446.901709,27359.225582,77142.813321,58403.798411
10,"50;125;145;200",100137.200136,true,6087.975837,27669.652833,76507.313694,56251.829239
11,"50;125;140;195",96507.230945,false,6575.552780,26060.150470,77153.365779,50589.689609
12,"50;125;140;205",96045.871048,false,6666.831405,25802.466710,77025.494486,50127.651381
13,"50;125;140;200",96283.202505,true,6589.814439,26055.949166,76689.503961,50585.373840
14,"50;125;140;210",96008.625657,false,6607.504634,25798.921961,76963.409359,50240.988765
15,"50;125;140;205",96045.871048,true,6666.831405,25802.466710,77025.494486,50127.651381
16,"50;125;140;215",96143.118632,false,6706.487504,25559.966191,77380.580120,50372.749753
17,"45;125;140;210",96166.543292,false,6696.012605,25725.986587,77029.827301,50459.260900
18,"55;125;140;210",96032.276421,false,6664.959034,25614.572280,77314.844535,50190.645678
19,"50;120;140;210",96655.242018,false,6247.503008,25845.245816,77389.056176,51735.930211
20,"50;130;140;210",95882.749148,false,6546.492815,25781.903337,77123.719387,49984.986605
21,"50;125;140;210",96008.625657,true,6607.504634,25798.921961,76963.409359,50240.988765
22,"50;135;140;210",95710.754464,false,6447.772268,25224.566637,77662.615624,50414.215493
23,"50;130;140;210",95882.749148,true,6546.492815,25781.903337,77123.719387,49984.986605
24,"50;135;145;210",99989.931629,false,6263.511178,26684.299896,78556.164034,55528.077075
25,"50;135;140;205",95931.452109,false,6612.218990,25274.180160,77631.895347,50458.210571
26,"50;135;140;215",95878.190249,false,6603.731873,24971.095920,77969.398794,50637.326117
27,"45;135;140;210",96071.920361,false,6595.051795,25178.039547,77669.861942,50927.796097
28,"55;135;140;210",95910.820914,false,6516.174608,25236.528267,78139.511432,50176.724647
