improvement,eval,angles_deg,objective
0,1,60;70;245;265,121994.917896
1,3,60;75;245;265,121430.554779
2,7,60;70;245;270,116553.299747
3,10,55;70;245;270,116169.852753
4,13,60;70;245;275,114562.894199
5,19,60;70;245;280,113047.090060
6,26,60;70;240;280,112666.337896
7,27,60;70;250;280,112323.803447
8,31,60;75;245;280,112029.498654
9,35,60;80;245;280,109518.393252
10,43,60;80;250;280,109125.738342
11,45,60;80;245;285,108617.081919
12,51,60;80;245;290,107461.798531
13,59,60;80;245;295,106858.917975
14,66,55;80;245;295,106324.576440
15,71,60;80;245;300,104187.245116
16,74,60;80;240;300,104122.714721
17,75,60;80;250;300,103912.248702
18,77,60;80;245;305,102569.377583
19,84,55;80;245;305,102090.126947
20,87,60;80;245;310,100611.657408
21,90,55;80;245;310,100507.827672
22,96,60;80;240;310,100281.728992
23,97,60;80;250;310,100254.037699
24,99,60;80;255;310,99171.159379
25,112,55;80;255;310,99149.594808
