eval,angles_deg,objective,cached,ptv_PTVHD_u2,ptv_PTVLD_u2,oar_BLADDER_v2,oar_RECTUM_v2
1,"60;70;245;265",121994.917896,false,8773.071385,33916.661608,92524.918279,66085.451527
2,"60;65;245;265",122532.903393,false,8788.481053,33987.230255,92484.730780,67029.653391
3,"60;75;245;265",121430.554779,false,8725.473848,33665.638066,92108.047639,65970.838090
4,"55;75;245;265",120456.343031,false,8663.508650,33657.161834,92303.194266,63968.150826
5,"55;75;245;260",123111.959494,false,9219.109155,34199.612577,92677.730506,66708.745016
6,"55;75;245;270",116333.585350,false,8351.501814,31874.424394,92297.854663,59917.463621
7,"55;75;240;270",116426.291710,false,8487.680335,31925.415838,92727.144307,59299.246767
8,"55;75;250;270",116269.083643,false,8288.212794,31904.902404,92798.443335,59353.493555
9,"55;70;250;270",115682.356867,false,7948.196413,32213.690840,92341.939476,58698.999752
10,"55;70;245;270",116169.852753,false,7962.347419,32281.117648,91845.358353,60007.417020
11,"55;70;255;270",114226.162207,false,8288.160631,31497.249904,92672.032663,56209.470681
12,"55;70;255;265",118818.139276,false,8867.329144,33187.023001,92635.996007,60891.578254
13,"55;70;255;275",111844.605274,false,8244.169632,29880.734329,91087.128359,56352.274267
14,"55;70;255;270",114226.162207,true,8288.160631,31497.249904,92672.032663,56209.470681
15,"55;70;255;280",109405.428830,false,8072.683382,29494.562549,86420.408961,57255.956835
16,"50;70;255;280",109423.189960,false,8076.656552,29708.409526,85818.316546,57457.931218
17,"60;70;255;280",110188.412900,false,8437.923939,29353.214216,86986.844492,57807.705000
18,"55;65;255;280",109876.105293,false,8262.457857,29379.438003,86838.580199,57629.838668
19,"55;75;255;280",110196.593764,false,8321.712976,29444.050365,87043.823107,57817.837737
20,"55;70;255;275",111844.605274,true,8244.169632,29880.734329,91087.128359,56352.274267
21,"55;70;255;285",108556.674748,false,8145.795726,28923.360634,84777.875487,58197.161291
22,"55;70;250;285",111339.714184,false,8430.202206,29816.356481,84242.719185,61943.591809
23,"55;70;260;285",110334.411963,false,7913.965348,29672.493108,83884.404308,61611.502704
24,"55;70;255;280",109405.428830,true,8072.683382,29494.562549,86420.408961,57255.956835
25,"55;70;255;290",107020.103489,false,8045.960097,28467.432868,83855.972404,57157.448643
26,"55;65;255;290",107779.621315,false,8295.181487,28384.022022,84507.519476,57693.316137
27,"55;75;255;290",107775.769977,false,8277.966965,28192.284257,84639.044219,57971.993290
28,"50;70;255;290",106592.737690,false,7826.470139,28588.632955,83221.213510,57134.055683
29,"45;70;255;290",106424.203386,false,7748.941232,28580.578347,82435.128140,57754.239475
30,"45;70;250;290",108674.226967,false,7785.716224,29375.111023,81384.054533,61642.744907
31,"45;70;260;290",108387.848667,false,7510.076234,29372.339085,81721.427319,61289.439375
32,"40;70;255;290",106103.610606,false,7646.321518,28616.609827,81633.594608,58047.763913
33,"40;65;255;290",106890.548351,false,7897.884574,28660.017094,82490.536838,58174.756528
34,"40;75;255;290",106805.334844,false,7884.378365,28611.082429,81967.540015,58652.208084
35,"40;70;250;290",108105.116618,false,7460.971573,29392.240905,80707.785526,61796.022754
36,"40;70;260;290",107972.172659,false,7323.396283,29413.405400,80920.502854,61550.239098
37,"40;70;255;285",107675.373843,false,7675.981030,29157.858388,82477.924700,59205.144149
38,"40;70;255;295",105527.633296,false,7449.576066,28618.037154,81360.187731,57559.852422
39,"35;70;255;295",105352.089611,false,7193.361488,28774.240070,81000.688521,57768.287585
40,"35;70;250;295",107545.674443,false,7067.022543,29633.627538,80035.165833,61654.882891
41,"35;70;260;295",107460.052427,false,7031.265242,29521.246292,80181.850567,61633.231220
42,"35;65;255;295",105998.144593,false,7455.728529,28673.822223,81597.625488,58139.562194
43,"35;75;255;295",106361.378473,false,7556.346860,28741.030418,81485.527437,58642.474953
44,"30;70;255;295",105720.915715,false,7270.014804,28769.640115,80215.382334,59147.139258
45,"40;70;255;295",105527.633296,true,7449.576066,28618.037154,81360.187731,57559.852422
46,"35;70;255;290",105741.784467,false,7281.808000,28832.213795,81060.156254,58195.369090
47,"35;70;255;300",102970.999143,false,6924.435679,27815.564716,79426.894104,57035.103392
48,"30;70;255;300",103302.296694,false,7013.093233,27830.814219,78631.963421,58284.815064
49,"40;70;255;300",103067.015242,false,7133.727064,27704.640033,79382.397620,57074.898671
50,"35;70;255;295",105352.089611,true,7193.361488,28774.240070,81000.688521,57768.287585
51,"35;70;255;305",101694.836616,false,6881.848165,27346.897321,78168.570725,56763.611536
52,"35;65;255;305",102713.628122,false,7276.739411,27488.942240,78958.020606,56937.872335
53,"35;75;255;305",102564.423991,false,7216.941502,27320.923628,79040.053114,57013.064609
54,"35;70;255;300",102970.999143,true,6924.435679,27815.564716,79426.894104,57035.103392
55,"35;70;255;310",100514.455590,false,6986.693967,26612.411542,76518.315552,57312.384610
56,"35;70;250;310",102311.561284,false,6734.100485,27460.637174,75842.776243,60390.871008
57,"35;70;260;310",102593.722849,false,6887.857356,27470.353739,75763.319372,60707.704135
58,"35;65;255;310",101399.562961,false,7325.760196,26584.454854,77383.263354,57595.432469
59,"35;75;255;310",101157.119965,false,7288.457171,26570.487092,77010.462670,57585.888734
60,"35;70;255;305",101694.836616,true,6881.848165,27346.897321,78168.570725,56763.611536
61,"35;70;255;315",101133.153502,false,6843.858995,27085.862412,76886.524561,57520.339629
62,"30;70;255;310",101022.402582,false,7142.471970,26580.175268,76168.337343,58431.173344
63,"40;70;255;310",100334.184196,false,7016.060323,26479.424656,76370.378089,57307.020344
64,"40;70;255;305",101724.965098,false,6991.086882,27306.628757,78239.625274,56614.873645
65,"40;70;255;315",100878.010364,false,6877.076472,26971.516169,76417.500481,57641.334967
66,"40;70;250;310",102107.350939,false,6863.141710,27300.376403,75502.918888,60384.746764
67,"40;70;260;310",102453.024568,false,6944.118471,27349.764445,75579.095329,60739.187976
68,"40;65;255;310",101443.730381,false,7433.818892,26504.759275,77326.148351,57684.156076
69,"40;75;255;310",100956.804033,false,7314.399408,26407.036348,77012.700545,57458.036010
70,"35;70;255;310",100514.455590,true,6986.693967,26612.411542,76518.315552,57312.384610
71,"45;70;255;310",100400.445886,false,7169.399940,26393.801395,76655.528462,57018.960638
