improvement,eval,angles_deg,objective
0,1,60;70;245;265,121994.917896
1,3,60;75;245;265,121430.554779
2,4,55;75;245;265,120456.343031
3,6,55;75;245;270,116333.585350
4,8,55;75;250;270,116269.083643
5,9,55;70;250;270,115682.356867
6,11,55;70;255;270,114226.162207
7,13,55;70;255;275,111844.605274
8,15,55;70;255;280,109405.428830
9,21,55;70;255;285,108556.674748
10,25,55;70;255;290,107020.103489
11,28,50;70;255;290,106592.737690
12,29,45;70;255;290,106424.203386
13,32,40;70;255;290,106103.610606
14,38,40;70;255;295,105527.633296
15,39,35;70;255;295,105352.089611
16,47,35;70;255;300,102970.999143
17,51,35;70;255;305,101694.836616
18,55,35;70;255;310,100514.455590
19,63,40;70;255;310,100334.184196
