improvement,eval,angles_deg,objective
0,1,150;165;348;358,107041.286707
1,2,145;165;348;358,105797.350920
2,3,140;165;348;358,100626.316779
3,6,140;160;348;358,99887.204274
4,12,140;160;348;3,98353.412406
5,14,140;160;348;8,98320.479993
6,16,140;160;348;13,97914.255271
7,18,140;160;348;18,97795.345598
8,20,140;160;348;23,97695.298384
9,25,140;155;348;23,97600.707855
10,26,140;150;348;23,96276.180940
11,30,140;150;353;23,96147.205003
12,32,140;150;358;23,95579.728648
13,34,140;150;3;23,95123.763158
