eval,angles_deg,objective,cached,ptv_PTVHD_u2,ptv_PTVLD_u2,oar_BLADDER_v2,oar_RECTUM_v2
1,"125;132;139;302",104076.085284,false,8199.670000,25011.143512,79809.687369,61920.856175
2,"125;132;139;297",103846.071615,false,8149.654041,25067.538623,80304.900558,60952.857344
3,"125;127;139;297",105645.344645,false,8141.899046,25707.986774,81453.684823,62137.232828
4,"125;137;139;297",104768.166529,false,8168.844541,25412.618505,80744.772458,61628.634507
5,"125;132;134;297",104992.489718,false,8507.393312,25086.665764,81263.125112,61533.736171
6,"125;132;144;297",101622.794059,false,7929.943347,23967.500039,79898.204861,59552.496486
7,"125;127;144;297",103827.035231,false,8039.787129,24761.592605,80767.879339,61283.431656
8,"125;137;144;297",102629.960975,false,8243.460373,24281.185051,80139.660279,60070.970823
9,"120;132;144;297",101153.823476,false,7912.669314,24075.386152,79487.904930,58843.631089
10,"115;132;144;297",100718.224657,false,7925.238837,23790.266676,78971.147677,59034.290611
11,"115;132;144;292",100716.854391,false,7997.432863,24217.443362,78900.214585,58103.741744
12,"115;132;144;287",100872.627187,false,8049.397668,24333.406576,78865.164148,58114.481738
13,"115;132;144;297",100718.224657,true,7925.238837,23790.266676,78971.147677,59034.290611
14,"115;127;144;292",102297.573604,false,7827.311528,24875.827796,79179.578645,60009.289915
15,"115;137;144;292",101552.927603,false,8179.370887,24494.556475,79037.085675,58720.914808
16,"115;132;139;292",102753.694494,false,8205.656754,24921.203922,79212.874336,60040.793299
17,"115;132;149;292",102223.552619,false,7780.763516,25322.916910,78652.493223,59587.251164
18,"110;132;144;292",99160.430428,false,7659.130723,23782.263740,78697.407871,56740.664058
19,"110;132;139;292",100996.786022,false,7833.046080,24574.383260,78788.854408,58389.858956
20,"110;132;149;292",100660.610750,false,7421.291130,25000.374216,78639.203943,57838.686864
21,"110;132;144;287",99868.122320,false,7829.402873,24122.675920,79064.800123,56767.286933
22,"110;132;144;297",99240.593783,false,7635.209579,23739.370792,78653.470050,57078.556776
23,"110;127;144;292",100862.324891,false,7562.530273,24559.683824,79246.510110,58233.711480
24,"110;137;144;292",99722.830465,false,7700.767335,24119.467799,78810.462583,56994.728081
25,"105;132;144;292",95924.561329,false,7048.250276,23295.185484,78685.958533,52476.292604
26,"105;132;144;287",96453.012681,false,7232.004328,23248.323312,79387.616420,52557.753664
27,"105;132;144;297",96207.158437,false,7077.066942,23497.134826,78420.916095,52844.997242
28,"105;132;139;292",97998.868599,false,7368.587799,24034.877116,79076.121035,54114.686334
29,"105;132;149;292",97420.735533,false,6872.566187,24472.343825,78495.137675,53656.513367
30,"100;132;144;292",97340.717529,false,7457.721961,23357.609173,79648.853773,53401.919017
31,"110;132;144;292",99160.430428,true,7659.130723,23782.263740,78697.407871,56740.664058
32,"105;127;144;292",97598.516033,false,6983.594638,24174.723952,79047.832433,53832.562454
33,"105;137;144;292",96935.939429,false,7075.270463,23851.400067,78739.241473,53279.296324
