improvement,eval,angles_deg,objective
0,1,88;91;113;188,108990.411369
1,2,88;91;113;183,107133.947638
2,4,88;96;113;183,105511.528203
3,6,88;96;118;183,103718.204196
4,7,83;96;118;183,103186.400893
5,10,83;96;118;178,101149.222537
6,11,78;96;118;178,98951.859861
7,17,78;96;123;178,98138.802351
8,23,78;96;128;178,97250.980529
9,29,78;96;133;178,96765.933655
10,31,78;101;133;178,96650.456545
11,35,78;106;133;178,96226.769486
12,41,78;106;138;178,96026.818667
13,47,78;106;143;178,94850.055770
14,50,78;101;143;178,94721.800412
15,53,78;96;143;178,94537.666825
