improvement,eval,angles_deg,objective
0,1,88;91;113;188,108990.411369
1,2,83;91;113;188,107227.301281
2,3,78;91;113;188,104704.632676
3,7,78;96;113;188,103412.287364
4,13,78;96;118;188,102114.161213
5,19,78;96;123;188,101184.462646
6,25,78;96;128;188,100093.355473
7,31,78;96;133;188,99069.129548
8,35,78;101;133;188,98958.520101
9,39,78;106;133;188,98383.398147
10,45,78;106;138;188,97967.827670
11,51,78;106;143;188,96846.717775
12,58,78;106;143;183,95848.959195
13,65,78;106;143;178,94850.055770
14,68,78;101;143;178,94721.800412
15,71,78;96;143;178,94537.666825
