eval,angles_deg,objective,cached
1,"113;162;167;271",99043.230967,false
2,"108;162;167;271",98869.886479,false
3,"103;162;167;271",99483.814614,false
4,"113;162;167;271",99043.230967,true
5,"108;157;167;271",97681.561403,false
6,"103;157;167;271",97211.117471,false
7,"98;157;167;271",100129.014935,false
8,"108;157;167;271",97681.561403,true
9,"103;152;167;271",96343.065893,false
10,"98;152;167;271",99154.938458,false
11,"108;152;167;271",96755.858603,false
12,"103;147;167;271",94831.069218,false
13,"98;147;167;271",96922.378751,false
14,"108;147;167;271",95110.386117,false
15,"103;142;167;271",92569.834527,false
16,"98;142;167;271",94199.461303,false
17,"108;142;167;271",93576.534721,false
18,"103;137;167;271",95185.045023,false
19,"103;147;167;271",94831.069218,true
20,"103;142;162;271",94378.676859,false
21,"103;142;172;271",93092.411387,false
22,"103;142;167;266",94805.800311,false
23,"103;142;167;276",94720.047760,false
