eval,angles_deg,objective,cached
1,"88;121;149;285",103123.373225,false
2,"78;121;149;285",100581.278798,false
3,"98;121;149;285",100124.073911,false
4,"88;111;149;285",102393.817356,false
5,"88;131;149;285",101743.279663,false
6,"88;121;139;285",103177.462167,false
7,"88;121;159;285",103021.741621,false
8,"88;121;149;275",100491.978492,false
9,"88;121;149;295",103387.663658,false
10,"88;121;149;285",103123.373225,true
11,"108;121;149;285",102539.066767,false
12,"98;111;149;285",99847.392934,false
13,"98;131;149;285",98849.075406,false
14,"98;121;139;285",100819.764731,false
15,"98;121;159;285",100725.266552,false
16,"98;121;149;275",99718.541503,false
17,"98;121;149;295",100076.742124,false
18,"88;131;149;285",101743.279663,true
19,"108;131;149;285",101004.293912,false
20,"98;121;149;285",100124.073911,true
21,"98;141;149;285",93753.354144,false
22,"98;131;139;285",99552.158499,false
23,"98;131;159;285",99425.381341,false
24,"98;131;149;275",98788.641530,false
25,"98;131;149;295",98834.807571,false
26,"88;141;149;285",96194.129864,false
27,"108;141;149;285",95391.687342,false
28,"98;131;149;285",98849.075406,true
29,"98;151;149;285",100913.953806,false
30,"98;141;139;285",94413.747676,false
31,"98;141;159;285",94633.392449,false
32,"98;141;149;275",94354.759815,false
33,"98;141;149;295",93722.083315,false
34,"88;141;149;295",96018.307973,false
35,"108;141;149;295",94803.572030,false
36,"98;131;149;295",98834.807571,true
37,"98;151;149;295",100489.122439,false
38,"98;141;139;295",94670.407030,false
39,"98;141;159;295",94685.614629,false
40,"98;141;149;285",93753.354144,true
41,"98;141;149;305",92019.801961,false
42,"88;141;149;305",94650.172971,false
43,"108;141;149;305",93467.123367,false
44,"98;131;149;305",97129.299870,false
45,"98;151;149;305",98601.134917,false
46,"98;141;139;305",92918.214457,false
47,"98;141;159;305",92337.754263,false
48,"98;141;149;295",93722.083315,true
49,"98;141;149;315",91718.013509,false
50,"88;141;149;315",94264.077560,false
51,"108;141;149;315",92744.678058,false
52,"98;131;149;315",98124.092520,false
53,"98;151;149;315",98391.930073,false
54,"98;141;139;315",93176.541526,false
55,"98;141;159;315",91824.709931,false
56,"98;141;149;305",92019.801961,true
57,"98;141;149;325",92702.623860,false
