eval,angles_deg,objective,cached
1,"1;97;110;299",98869.649485,false
2,"351;97;110;299",98989.641504,false
3,"11;97;110;299",101769.480807,false
4,"1;87;110;299",101671.105689,false
5,"1;107;110;299",101190.443929,false
6,"1;97;100;299",100182.883070,false
7,"1;97;120;299",99037.784266,false
8,"1;97;110;289",101503.146273,false
9,"1;97;110;309",96689.625883,false
10,"351;97;110;309",96763.524211,false
11,"11;97;110;309",99182.831325,false
12,"1;87;110;309",99540.374843,false
13,"1;107;110;309",97899.085768,false
14,"1;97;100;309",97613.094504,false
15,"1;97;120;309",97074.468338,false
16,"1;97;110;299",98869.649485,true
17,"1;97;110;319",96347.793665,false
18,"351;97;110;319",96954.363320,false
19,"11;97;110;319",98489.509471,false
20,"1;87;110;319",98622.335893,false
21,"1;107;110;319",97468.079499,false
22,"1;97;100;319",97896.539190,false
23,"1;97;120;319",96931.950494,false
24,"1;97;110;309",96689.625883,true
25,"1;97;110;329",96422.728587,false
