eval,angles_deg,objective,cached
1,"20;142;150;173",97489.886601,false
2,"10;142;150;173",98401.159308,false
3,"30;142;150;173",97685.127715,false
4,"20;132;150;173",99297.654799,false
5,"20;152;150;173",101656.373866,false
6,"20;142;140;173",95416.731566,false
7,"10;142;140;173",96141.356603,false
8,"30;142;140;173",95552.048887,false
9,"20;132;140;173",95233.005451,false
10,"10;132;140;173",96354.466708,false
11,"30;132;140;173",95361.666102,false
12,"20;122;140;173",95477.609262,false
13,"20;142;140;173",95416.731566,true
14,"20;132;130;173",101737.211031,false
15,"20;132;150;173",99297.654799,true
16,"20;132;140;163",95493.441947,false
17,"20;132;140;183",95460.066545,false
18,"10;132;140;173",96354.466708,true
19,"30;132;140;173",95361.666102,true
20,"20;122;140;173",95477.609262,true
21,"20;142;140;173",95416.731566,true
22,"20;132;130;173",101737.211031,true
23,"20;132;150;173",99297.654799,true
24,"20;132;140;163",95493.441947,true
25,"20;132;140;183",95460.066545,true
26,"10;132;140;173",96354.466708,true
27,"30;132;140;173",95361.666102,true
28,"20;122;140;173",95477.609262,true
29,"20;142;140;173",95416.731566,true
30,"20;132;130;173",101737.211031,true
31,"20;132;150;173",99297.654799,true
32,"20;132;140;163",95493.441947,true
33,"20;132;140;183",95460.066545,true
34,"10;132;140;173",96354.466708,true
35,"30;132;140;173",95361.666102,true
36,"20;122;140;173",95477.609262,true
37,"20;142;140;173",95416.731566,true
38,"20;132;130;173",101737.211031,true
39,"20;132;150;173",99297.654799,true
40,"20;132;140;163",95493.441947,true
41,"20;132;140;183",95460.066545,true
42,"10;132;140;173",96354.466708,true
43,"30;132;140;173",95361.666102,true
44,"20;122;140;173",95477.609262,true
45,"20;142;140;173",95416.731566,true
46,"20;132;130;173",101737.211031,true
47,"20;132;150;173",99297.654799,true
48,"20;132;140;163",95493.441947,true
49,"20;132;140;183",95460.066545,true
50,"10;132;140;173",96354.466708,true
51,"30;132;140;173",95361.666102,true
52,"20;122;140;173",95477.609262,true
53,"20;142;140;173",95416.731566,true
54,"20;132;130;173",101737.211031,true
55,"20;132;150;173",99297.654799,true
56,"20;132;140;163",95493.441947,true
57,"20;132;140;183",95460.066545,true
58,"10;132;140;173",96354.466708,true
59,"30;132;140;173",95361.666102,true
60,"20;122;140;173",95477.609262,true
61,"20;142;140;173",95416.731566,true
62,"20;132;130;173",101737.211031,true
63,"20;132;150;173",99297.654799,true
64,"20;132;140;163",95493.441947,true
65,"20;132;140;183",95460.066545,true
66,"10;132;140;173",96354.466708,true
67,"30;132;140;173",95361.666102,true
68,"20;122;140;173",95477.609262,true
69,"20;142;140;173",95416.731566,true
70,"20;132;130;173",101737.211031,true
71,"20;132;150;173",99297.654799,true
72,"20;132;140;163",95493.441947,true
73,"20;132;140;183",95460.066545,true
74,"132;140;168;173",100489.203799,false
75,"122;140;168;173",98124.497310,false
76,"112;140;168;173",96793.861961,false
77,"102;140;168;173",91428.303785,false
78,"92;140;168;173",95078.398451,false
79,"112;140;168;173",96793.861961,true
80,"102;130;168;173",96748.115472,false
81,"102;150;168;173",94804.538350,false
82,"102;140;158;173",93050.370282,false
83,"102;140;178;173",90939.965899,false
84,"92;140;178;173",94876.191541,false
85,"112;140;178;173",96186.277687,false
86,"102;130;178;173",96582.542918,false
87,"102;150;178;173",94132.543551,false
88,"102;140;168;173",91428.303785,true
89,"102;140;188;173",91678.251347,false
90,"102;140;178;163",91059.055770,false
91,"102;140;178;183",90685.441403,false
92,"92;140;178;183",94610.082743,false
93,"112;140;178;183",95864.189260,false
94,"102;130;178;183",96024.402204,false
95,"102;150;178;183",93276.950385,false
96,"102;140;168;183",89829.760650,false
97,"92;140;168;183",93256.704998,false
98,"112;140;168;183",95142.529192,false
99,"102;130;168;183",94964.772612,false
100,"102;150;168;183",93123.100017,false
101,"102;140;158;183",91336.752454,false
102,"102;140;178;183",90685.441403,true
103,"102;140;168;173",91428.303785,true
104,"102;140;168;193",90402.396450,false
105,"92;140;168;183",93256.704998,true
106,"112;140;168;183",95142.529192,true
107,"102;130;168;183",94964.772612,true
108,"102;150;168;183",93123.100017,true
109,"102;140;158;183",91336.752454,true
110,"102;140;178;183",90685.441403,true
111,"102;140;168;173",91428.303785,true
112,"102;140;168;193",90402.396450,true
113,"92;140;168;183",93256.704998,true
114,"112;140;168;183",95142.529192,true
115,"102;130;168;183",94964.772612,true
116,"102;150;168;183",93123.100017,true
117,"102;140;158;183",91336.752454,true
118,"102;140;178;183",90685.441403,true
119,"102;140;168;173",91428.303785,true
120,"102;140;168;193",90402.396450,true
121,"92;140;168;183",93256.704998,true
122,"112;140;168;183",95142.529192,true
123,"102;130;168;183",94964.772612,true
124,"102;150;168;183",93123.100017,true
125,"102;140;158;183",91336.752454,true
126,"102;140;178;183",90685.441403,true
127,"102;140;168;173",91428.303785,true
128,"102;140;168;193",90402.396450,true
129,"98;102;140;183",91456.888822,false
130,"88;102;140;183",92241.379413,false
131,"108;102;140;183",91551.327776,false
132,"98;92;140;183",95339.912710,false
133,"98;112;140;183",94049.306197,false
134,"98;102;130;183",97054.701523,false
135,"98;102;150;183",93703.191131,false
136,"98;102;140;173",93703.191131,false
137,"98;102;140;193",93703.191131,false
138,"88;102;140;183",92241.379413,true
139,"108;102;140;183",91551.327776,true
140,"98;92;140;183",95339.912710,true
141,"98;112;140;183",94049.306197,true
142,"98;102;130;183",97054.701523,true
143,"98;102;150;183",93703.191131,true
144,"98;102;140;173",93703.191131,true
145,"98;102;140;193",93703.191131,true
146,"88;102;140;183",92241.379413,true
147,"108;102;140;183",91551.327776,true
148,"98;92;140;183",95339.912710,true
149,"98;112;140;183",94049.306197,true
150,"98;102;130;183",97054.701523,true
151,"98;102;150;183",93703.191131,true
152,"98;102;140;173",93703.191131,true
153,"98;102;140;193",93703.191131,true
154,"88;102;140;183",92241.379413,true
155,"108;102;140;183",91551.327776,true
156,"98;92;140;183",95339.912710,true
157,"98;112;140;183",94049.306197,true
158,"98;102;130;183",97054.701523,true
159,"98;102;150;183",93703.191131,true
160,"98;102;140;173",93703.191131,true
161,"98;102;140;193",93703.191131,true
162,"88;102;140;183",92241.379413,true
163,"108;102;140;183",91551.327776,true
164,"98;92;140;183",95339.912710,true
165,"98;112;140;183",94049.306197,true
166,"98;102;130;183",97054.701523,true
167,"98;102;150;183",93703.191131,true
168,"98;102;140;173",93703.191131,true
169,"98;102;140;193",93703.191131,true
170,"88;102;140;183",92241.379413,true
171,"108;102;140;183",91551.327776,true
172,"98;92;140;183",95339.912710,true
173,"98;112;140;183",94049.306197,true
174,"98;102;130;183",97054.701523,true
175,"98;102;150;183",93703.191131,true
176,"98;102;140;173",93703.191131,true
177,"98;102;140;193",93703.191131,true
178,"88;102;140;183",92241.379413,true
179,"108;102;140;183",91551.327776,true
180,"98;92;140;183",95339.912710,true
181,"98;112;140;183",94049.306197,true
182,"98;102;130;183",97054.701523,true
183,"98;102;150;183",93703.191131,true
184,"98;102;140;173",93703.191131,true
185,"98;102;140;193",93703.191131,true
186,"88;102;140;183",92241.379413,true
187,"108;102;140;183",91551.327776,true
188,"98;92;140;183",95339.912710,true
189,"98;112;140;183",94049.306197,true
190,"98;102;130;183",97054.701523,true
191,"98;102;150;183",93703.191131,true
192,"98;102;140;173",93703.191131,true
193,"98;102;140;193",93703.191131,true
194,"88;102;140;183",92241.379413,true
195,"108;102;140;183",91551.327776,true
196,"98;92;140;183",95339.912710,true
197,"98;112;140;183",94049.306197,true
198,"98;102;130;183",97054.701523,true
199,"98;102;150;183",93703.191131,true
200,"98;102;140;173",93703.191131,true
201,"98;102;140;193",93703.191131,true
202,"88;102;140;183",92241.379413,true
203,"108;102;140;183",91551.327776,true
204,"98;92;140;183",95339.912710,true
205,"98;112;140;183",94049.306197,true
206,"98;102;130;183",97054.701523,true
207,"98;102;150;183",93703.191131,true
208,"98;102;140;173",93703.191131,true
209,"98;102;140;193",93703.191131,true
210,"102;140;183;276",93703.191131,false
211,"92;140;183;276",93703.191131,false
212,"112;140;183;276",93703.191131,false
213,"102;130;183;276",93703.191131,false
214,"102;150;183;276",93703.191131,false
215,"102;140;173;276",93703.191131,false
216,"102;140;193;276",93703.191131,false
217,"102;140;183;266",93703.191131,false
218,"102;140;183;286",93703.191131,false
219,"92;140;183;276",93703.191131,true
220,"112;140;183;276",93703.191131,true
221,"102;130;183;276",93703.191131,true
