eval,angles_deg,objective,cached,ronda,tenure,prohibido,aceptado
1,65;205;325;335,102492.886447,false,0,,,
2,55;205;325;335,102705.476949,false,1,5,False,True
3,75;205;325;335,101953.669296,false,1,5,False,True
4,65;195;325;335,103583.422309,false,1,5,False,False
5,65;215;325;335,102442.475853,false,1,5,False,False
6,65;205;315;335,101836.855604,false,1,5,False,True
7,65;205;325;345,102433.930417,false,1,5,False,False
8,55;205;315;335,102141.797087,false,1,5,False,False
9,75;205;315;335,101065.711219,false,1,5,False,True
10,65;195;315;335,102605.272588,false,2,5,False,True
11,65;215;315;335,101563.255527,false,2,5,False,True
12,65;205;305;335,100725.390559,false,2,5,False,True
13,65;205;325;335,102492.886447,true,2,5,False,False
14,65;205;315;325,101710.786526,false,2,5,False,False
15,65;205;315;345,101788.035462,false,2,5,False,False
16,55;205;305;335,100884.172198,false,2,5,False,False
17,75;205;305;335,100454.957118,false,2,5,False,True
18,65;195;305;335,101233.007018,false,3,5,False,True
19,65;215;305;335,100752.249247,false,3,5,False,True
20,65;205;295;335,102038.071186,false,3,5,False,False
21,65;205;315;335,101836.855604,true,3,5,False,False
22,65;205;305;325,100979.766546,false,3,5,False,False
23,65;205;305;345,101598.500644,false,3,5,False,False
24,65;205;305;335,100725.390559,true,3,5,False,True
25,85;205;305;335,99793.799487,false,3,5,False,True
26,75;195;305;335,101127.628683,false,4,5,False,True
27,75;215;305;335,100524.668080,false,4,5,False,True
28,75;205;295;335,101775.391273,false,4,5,False,False
29,75;205;315;335,101065.711219,true,4,5,True,False
30,75;205;305;325,100600.307645,false,4,5,False,False
31,75;205;305;345,101690.461976,false,4,5,False,False
32,75;205;305;335,100454.957118,true,4,5,True,False
33,95;205;305;335,96763.086214,false,4,5,False,True
34,85;195;305;335,100905.642596,false,5,5,False,True
35,85;215;305;335,99997.420508,false,5,5,False,True
36,85;205;295;335,100824.894512,false,5,5,False,False
37,85;205;315;335,99913.635945,false,5,5,False,True
38,85;205;305;325,99985.278701,false,5,5,False,False
39,85;205;305;345,100222.223467,false,5,5,False,False
40,85;205;305;335,99793.799487,true,5,5,True,False
41,105;205;305;335,95833.633803,false,5,5,False,True
42,95;195;305;335,97878.847873,false,6,5,False,True
43,95;215;305;335,96942.819182,false,6,5,False,True
44,95;205;295;335,97664.236338,false,6,5,False,False
45,95;205;315;335,96709.456412,false,6,5,False,True
46,95;205;305;325,96758.567007,false,6,5,False,False
47,95;205;305;345,97337.649889,false,6,5,False,False
48,95;205;305;335,96763.086214,true,6,5,True,False
49,115;205;305;335,99294.771253,false,6,5,False,False
50,105;195;305;335,96914.524094,false,7,5,False,True
51,105;215;305;335,95901.365766,false,7,5,False,True
52,105;205;295;335,96607.992679,false,7,5,False,False
53,105;205;315;335,95819.637398,false,7,5,False,True
54,105;205;305;325,96221.627142,false,7,5,False,False
55,105;205;305;345,96833.255739,false,7,5,False,False
56,95;205;315;335,96709.456412,true,7,5,True,False
57,115;205;315;335,99367.619656,false,7,5,False,False
58,105;195;315;335,97092.986797,false,8,5,False,True
59,105;215;315;335,95698.181535,false,8,5,False,True
60,105;205;305;335,95833.633803,true,8,5,True,False
61,105;205;325;335,96153.437332,false,8,5,False,False
62,105;205;315;325,95164.991745,false,8,5,False,True
63,105;205;315;345,95577.049739,false,8,5,False,False
64,95;205;315;325,96532.989765,false,8,5,False,False
65,115;205;315;325,99329.192956,false,8,5,False,False
66,105;195;315;325,97134.705516,false,9,5,False,True
67,105;215;315;325,95077.599052,false,9,5,False,True
68,105;205;305;325,96221.627142,true,9,5,False,False
69,105;205;315;335,95819.637398,true,9,5,True,False
70,95;215;315;325,96991.407404,false,9,5,False,False
71,115;215;315;325,99735.636942,false,9,5,False,False
72,105;205;315;325,95164.991745,true,9,5,True,False
73,105;225;315;325,93506.094520,false,9,5,False,True
74,105;215;305;325,96582.515163,false,10,5,False,True
75,105;215;315;335,95698.181535,true,10,5,False,True
76,95;225;315;325,95154.156268,false,10,5,False,True
77,115;225;315;325,95912.086048,false,10,5,False,False
78,105;215;315;325,95077.599052,true,10,5,False,True
