improvement,eval,angles_deg,objective
0,1,60;70;245;265,121994.917896
1,2,50;70;245;265,121015.596636
2,3,60;80;245;265,118312.791191
3,4,50;80;245;265,116696.734003
4,7,60;90;245;265,116494.516942
5,8,50;90;245;265,116301.239584
6,11,60;100;245;265,109112.442165
7,15,60;110;245;265,105677.313824
8,16,50;110;245;265,105445.980516
9,19,60;120;245;265,104487.887715
10,20,50;120;245;265,104217.734226
11,23,60;130;245;265,102630.447529
12,27,60;140;245;265,96102.353815
13,32,60;140;235;265,95714.540641
14,37,60;140;225;265,93458.475403
15,45,60;140;225;275,92971.278303
