eval,angles_deg,objective,cached,ptv_PTVHD_u2,ptv_PTVLD_u2,oar_BLADDER_v2,oar_RECTUM_v2
1,"27;36;223;249",131979.726849,false,9163.395751,36565.928951,100261.876798,72238.927495
2,"17;36;223;249",123997.880273,false,8140.236281,34301.892466,94765.472440,68346.030611
3,"37;36;223;249",136197.629121,false,9969.203978,37534.582414,101589.110388,75798.575071
4,"27;26;223;249",136253.099429,false,9427.219461,37663.050828,102105.115111,76220.543170
5,"27;46;223;249",130274.261095,false,9322.721717,35789.573747,99493.814424,70830.116838
6,"27;36;213;249",136715.924649,false,9451.384166,37272.950510,101719.059789,78264.120157
7,"27;36;233;249",133415.472261,false,9449.663901,37191.147187,98182.761036,75366.561309
8,"27;36;223;239",141808.091122,false,9825.260206,40434.579415,102971.627781,80124.875222
9,"27;36;223;259",123770.400135,false,8395.085039,32954.003788,94929.715911,69912.906703
10,"17;36;223;259",117240.727457,false,7674.372752,31385.895564,90011.824801,66349.093481
11,"37;36;223;259",127514.194465,false,9504.668140,33802.811111,96436.436757,71976.993673
12,"27;26;223;259",126410.379212,false,8894.578304,33523.228486,95982.239204,72002.905640
13,"27;46;223;259",122958.669832,false,8664.678567,32805.204286,95041.673997,67935.899961
14,"27;36;213;259",127704.075778,false,8567.708605,33567.063062,97262.874347,73875.733876
15,"27;36;233;259",124242.038370,false,8377.843840,34095.942756,93348.248685,70188.254861
16,"27;36;223;249",131979.726849,true,9163.395751,36565.928951,100261.876798,72238.927495
17,"27;36;223;269",116782.783656,false,7573.877114,31436.902038,90400.202820,65143.806188
18,"17;36;223;269",111594.590879,false,6895.483951,30107.835488,86509.060544,62673.482335
19,"37;36;223;269",119683.303639,false,8396.477511,32159.391499,92586.365617,65668.503640
20,"27;26;223;269",118537.669586,false,7766.392473,31647.758718,91452.689116,66794.347673
21,"27;46;223;269",115520.688076,false,7455.009036,31348.977485,89960.325141,63473.077970
22,"27;36;213;269",120106.770617,false,7972.041176,31983.301547,92207.239788,68095.616001
23,"27;36;233;269",116593.229600,false,7498.027373,32608.272066,88602.973917,64370.886404
24,"27;36;223;259",123770.400135,true,8395.085039,32954.003788,94929.715911,69912.906703
25,"27;36;223;279",110308.876399,false,7458.061866,29725.717384,85952.854133,60297.340166
26,"17;36;223;279",106918.103083,false,7252.643016,28903.617728,82430.564499,59093.120178
27,"37;36;223;279",113001.171217,false,8381.532410,30181.474913,88742.815913,60133.511874
28,"27;26;223;279",111866.500296,false,7848.738938,29876.909202,87132.122767,61149.581546
29,"27;46;223;279",109802.650966,false,7593.571121,29727.543762,86358.371408,58604.700758
30,"27;36;213;279",114525.540696,false,8125.183149,30546.140164,87700.047776,64008.386990
31,"27;36;233;279",110033.949255,false,7496.218884,30125.036363,83847.931554,60977.456461
32,"27;36;223;269",116782.783656,true,7573.877114,31436.902038,90400.202820,65143.806188
33,"27;36;223;289",108365.151224,false,7652.762318,28700.544291,83027.182720,60996.506509
34,"7;36;223;279",104429.455802,false,6715.705403,28615.851038,80643.051637,57552.747086
35,"27;36;223;279",110308.876399,true,7458.061866,29725.717384,85952.854133,60297.340166
36,"17;26;223;279",107430.761067,false,7288.291825,29031.325758,82739.044251,59483.242717
37,"17;46;223;279",107503.820993,false,7343.394138,29364.539106,82526.981407,59064.794091
38,"17;36;213;279",110085.639341,false,7148.159429,30002.001862,83277.065536,62593.890563
39,"17;36;233;279",107253.693541,false,7090.545485,29527.783350,81238.779668,60031.949744
40,"17;36;223;269",111594.590879,true,6895.483951,30107.835488,86509.060544,62673.482335
41,"17;36;223;289",105993.916896,false,7438.235458,28225.696770,80527.781515,60132.187821
42,"357;36;223;279",100663.188301,false,5265.955884,29288.913067,77339.269880,54877.368820
43,"17;36;223;279",106918.103083,true,7252.643016,28903.617728,82430.564499,59093.120178
44,"7;26;223;279",104496.062354,false,6828.819109,28342.858594,80852.276368,57796.492934
45,"7;46;223;279",105489.214468,false,6929.362249,28989.807518,81019.571098,58120.518303
46,"7;36;213;279",106914.546879,false,6820.177488,29500.554631,80182.013783,61005.615735
47,"7;36;233;279",104766.147973,false,6744.957050,28881.288875,79311.387565,58968.416532
48,"7;36;223;269",107607.023094,false,6384.961764,29085.509371,83996.744712,60276.359205
49,"7;36;223;289",104428.352439,false,7072.683544,28111.707776,78772.511204,59715.411033
50,"347;36;223;279",99743.148292,false,5985.170183,27121.569046,78304.040842,54968.777285
51,"7;36;223;279",104429.455802,true,6715.705403,28615.851038,80643.051637,57552.747086
52,"357;26;223;279",100603.656006,false,5314.957287,29301.646286,77511.686687,54462.418178
